ID_pair;KDE;Factor;Level;Difference
H11_2018;KDE50;VRM;Flat;-1,504947183
H4_2018;KDE50;VRM;Flat;-2,064674317
G3_2018;KDE50;VRM;Flat;32,59982304
G4_2019;KDE50;VRM;Flat;16,38358652
H10_2019;KDE50;VRM;Flat;-8,177898462
G2_2019;KDE50;VRM;Flat;3,868649708
D15_2020;KDE50;VRM;Flat;-3,355688513
HA17_2018;KDE50;VRM;Flat;-21,07666921
HA12_2019;KDE50;VRM;Flat;-8,368622216
HA13_2020;KDE50;VRM;Flat;-13,51471284
HA11_2019;KDE50;VRM;Flat;-7,080618535
H11_2019;KDE50;VRM;Flat;3,792672749
H7_2020;KDE50;VRM;Flat;7,127274121
H10_2020;KDE50;VRM;Flat;-7,518500583
A4_2020;KDE50;VRM;Flat;15,17956034
A6_2020_1;KDE50;VRM;Flat;-9,661020891
A6_2020_2;KDE50;VRM;Flat;-11,1282421
H6_2021;KDE50;VRM;Flat;-12,73384545
HA17_2020;KDE50;VRM;Flat;-10,21286028
HA1_2020;KDE50;VRM;Flat;-6,453922051
HA9_2020;KDE50;VRM;Flat;13,36597658
G2_2022;KDE50;VRM;Flat;-3,574427445
A6_2021;KDE50;VRM;Flat;-12,00804556
A2_2021;KDE50;VRM;Flat;7,081582468
H10_2022;KDE50;VRM;Flat;-5,764181672
HA15_2022;KDE50;VRM;Flat;3,716455696
H4_2016;KDE50;VRM;Flat;-1,667392017
G2_2016;KDE50;VRM;Flat;-4,968468923
H1_2016;KDE50;VRM;Flat;1,567795742
H6_2016;KDE50;VRM;Flat;-1,164946428
A6_2016;KDE50;VRM;Flat;-10,29754306
H10_2017;KDE50;VRM;Flat;-10,70452975
A2_2017;KDE50;VRM;Flat;1,44326605
G2_2018;KDE50;VRM;Flat;-7,51175012
H4_2019;KDE50;VRM;Flat;2,34959019
H11_2018;KDE50;VRM;Hilly;1,691188792
H4_2018;KDE50;VRM;Hilly;1,470382806
G3_2018;KDE50;VRM;Hilly;-33,09161073
G4_2019;KDE50;VRM;Hilly;-8,474777112
H10_2019;KDE50;VRM;Hilly;8,177898462
G2_2019;KDE50;VRM;Hilly;-6,196191028
D15_2020;KDE50;VRM;Hilly;3,036637055
HA17_2018;KDE50;VRM;Hilly;15,32644285
HA12_2019;KDE50;VRM;Hilly;-2,12457739
HA13_2020;KDE50;VRM;Hilly;2,730154236
HA11_2019;KDE50;VRM;Hilly;-1,388191179
H11_2019;KDE50;VRM;Hilly;-1,031540418
H7_2020;KDE50;VRM;Hilly;-8,189593433
H10_2020;KDE50;VRM;Hilly;7,518500583
A4_2020;KDE50;VRM;Hilly;-15,6263814
A6_2020_1;KDE50;VRM;Hilly;10,10161072
A6_2020_2;KDE50;VRM;Hilly;11,36035446
H6_2021;KDE50;VRM;Hilly;11,3495098
HA17_2020;KDE50;VRM;Hilly;7,391400699
HA1_2020;KDE50;VRM;Hilly;-2,356877646
HA9_2020;KDE50;VRM;Hilly;-12,46391003
G2_2022;KDE50;VRM;Hilly;6,22709825
A6_2021;KDE50;VRM;Hilly;12,23130644
A2_2021;KDE50;VRM;Hilly;-6,941352106
H10_2022;KDE50;VRM;Hilly;5,764181672
HA15_2022;KDE50;VRM;Hilly;-7,322855134
H4_2016;KDE50;VRM;Hilly;0,743073619
G2_2016;KDE50;VRM;Hilly;3,57748601
H1_2016;KDE50;VRM;Hilly;-1,967271865
H6_2016;KDE50;VRM;Hilly;1,335551873
A6_2016;KDE50;VRM;Hilly;10,19052705
H10_2017;KDE50;VRM;Hilly;10,70452975
A2_2017;KDE50;VRM;Hilly;-1,378081822
G2_2018;KDE50;VRM;Hilly;2,775695559
H4_2019;KDE50;VRM;Hilly;-3,077549693
H11_2018;KDE50;VRM;Rugged;-0,18624161
H4_2018;KDE50;VRM;Rugged;0,594291511
G3_2018;KDE50;VRM;Rugged;0,491787686
G4_2019;KDE50;VRM;Rugged;-7,908809405
H10_2019;KDE50;VRM;Rugged;0
G2_2019;KDE50;VRM;Rugged;2,32754132
D15_2020;KDE50;VRM;Rugged;0,319051458
HA17_2018;KDE50;VRM;Rugged;5,750226359
HA12_2019;KDE50;VRM;Rugged;10,49319961
HA13_2020;KDE50;VRM;Rugged;10,7845586
HA11_2019;KDE50;VRM;Rugged;8,468809714
H11_2019;KDE50;VRM;Rugged;-2,76113233
H7_2020;KDE50;VRM;Rugged;1,062319311
H10_2020;KDE50;VRM;Rugged;0
A4_2020;KDE50;VRM;Rugged;0,446821063
A6_2020_1;KDE50;VRM;Rugged;-0,440589825
A6_2020_2;KDE50;VRM;Rugged;-0,232112362
H6_2021;KDE50;VRM;Rugged;1,384335653
HA17_2020;KDE50;VRM;Rugged;2,82145958
HA1_2020;KDE50;VRM;Rugged;8,810799697
HA9_2020;KDE50;VRM;Rugged;-0,902066548
G2_2022;KDE50;VRM;Rugged;-2,652670805
A6_2021;KDE50;VRM;Rugged;-0,223260878
A2_2021;KDE50;VRM;Rugged;-0,140230362
H10_2022;KDE50;VRM;Rugged;0
HA15_2022;KDE50;VRM;Rugged;3,606399437
H4_2016;KDE50;VRM;Rugged;0,924318398
G2_2016;KDE50;VRM;Rugged;1,390982913
H1_2016;KDE50;VRM;Rugged;0,399476123
H6_2016;KDE50;VRM;Rugged;-0,170605445
A6_2016;KDE50;VRM;Rugged;0,107016011
H10_2017;KDE50;VRM;Rugged;0
A2_2017;KDE50;VRM;Rugged;-0,065184228
G2_2018;KDE50;VRM;Rugged;4,736054561
H4_2019;KDE50;VRM;Rugged;0,727959503
H11_2018;KDE99;VRM;Flat;8,312218856
H4_2018;KDE99;VRM;Flat;-1,100147587
G3_2018;KDE99;VRM;Flat;27,28708493
G4_2019;KDE99;VRM;Flat;14,44647351
H10_2019;KDE99;VRM;Flat;-3,558262268
G2_2019;KDE99;VRM;Flat;4,987929743
D15_2020;KDE99;VRM;Flat;-0,859348953
HA17_2018;KDE99;VRM;Flat;-11,04111712
HA12_2019;KDE99;VRM;Flat;-10,44644326
HA13_2020;KDE99;VRM;Flat;-4,036884474
HA11_2019;KDE99;VRM;Flat;-1,707790189
H11_2019;KDE99;VRM;Flat;6,51635283
H7_2020;KDE99;VRM;Flat;3,81502076
H10_2020;KDE99;VRM;Flat;-3,999242941
A4_2020;KDE99;VRM;Flat;11,37151181
A6_2020_1;KDE99;VRM;Flat;-5,317786011
A6_2020_2;KDE99;VRM;Flat;-4,857552448
H6_2021;KDE99;VRM;Flat;-6,574936332
HA17_2020;KDE99;VRM;Flat;-6,223523749
HA1_2020;KDE99;VRM;Flat;6,213317505
HA9_2020;KDE99;VRM;Flat;7,757288552
G2_2022;KDE99;VRM;Flat;-0,274096162
A6_2021;KDE99;VRM;Flat;-5,720586381
A2_2021;KDE99;VRM;Flat;4,22491017
H10_2022;KDE99;VRM;Flat;-3,515899952
HA15_2022;KDE99;VRM;Flat;1,694431875
H4_2016;KDE99;VRM;Flat;-0,814985366
G2_2016;KDE99;VRM;Flat;2,743326512
H1_2016;KDE99;VRM;Flat;4,803331842
H6_2016;KDE99;VRM;Flat;-0,813464664
A6_2016;KDE99;VRM;Flat;-4,379510969
H10_2017;KDE99;VRM;Flat;-5,3888192
A2_2017;KDE99;VRM;Flat;4,550893568
G2_2018;KDE99;VRM;Flat;-1,122842116
H4_2019;KDE99;VRM;Flat;-0,407242278
H11_2018;KDE99;VRM;Hilly;-7,518426698
H4_2018;KDE99;VRM;Hilly;0,864602945
G3_2018;KDE99;VRM;Hilly;-26,19188477
G4_2019;KDE99;VRM;Hilly;-9,226029697
H10_2019;KDE99;VRM;Hilly;3,562251268
G2_2019;KDE99;VRM;Hilly;-6,051948979
D15_2020;KDE99;VRM;Hilly;0,749209171
HA17_2018;KDE99;VRM;Hilly;6,884705479
HA12_2019;KDE99;VRM;Hilly;0,148272983
HA13_2020;KDE99;VRM;Hilly;-2,791359557
HA11_2019;KDE99;VRM;Hilly;-1,714949818
H11_2019;KDE99;VRM;Hilly;-4,393911817
H7_2020;KDE99;VRM;Hilly;-4,547313259
H10_2020;KDE99;VRM;Hilly;3,996172536
A4_2020;KDE99;VRM;Hilly;-11,60781604
A6_2020_1;KDE99;VRM;Hilly;5,549629199
A6_2020_2;KDE99;VRM;Hilly;4,940373377
H6_2021;KDE99;VRM;Hilly;5,585262675
HA17_2020;KDE99;VRM;Hilly;2,573483867
HA1_2020;KDE99;VRM;Hilly;-9,948553454
HA9_2020;KDE99;VRM;Hilly;-7,458762013
G2_2022;KDE99;VRM;Hilly;2,003141906
A6_2021;KDE99;VRM;Hilly;5,8156295
A2_2021;KDE99;VRM;Hilly;-4,379883473
H10_2022;KDE99;VRM;Hilly;3,512829547
HA15_2022;KDE99;VRM;Hilly;-5,253671514
H4_2016;KDE99;VRM;Hilly;0,2008209
G2_2016;KDE99;VRM;Hilly;-2,516389181
H1_2016;KDE99;VRM;Hilly;-4,615478457
H6_2016;KDE99;VRM;Hilly;0,566261732
A6_2016;KDE99;VRM;Hilly;4,196025784
H10_2017;KDE99;VRM;Hilly;5,385748796
A2_2017;KDE99;VRM;Hilly;-4,821565527
G2_2018;KDE99;VRM;Hilly;-1,796845056
H4_2019;KDE99;VRM;Hilly;-0,042110661
H11_2018;KDE99;VRM;Rugged;-0,795176682
H4_2018;KDE99;VRM;Rugged;0,235544642
G3_2018;KDE99;VRM;Rugged;-1,095200164
G4_2019;KDE99;VRM;Rugged;-5,220443812
H10_2019;KDE99;VRM;Rugged;-0,003989001
G2_2019;KDE99;VRM;Rugged;1,064019236
D15_2020;KDE99;VRM;Rugged;0,110139783
HA17_2018;KDE99;VRM;Rugged;4,156411637
HA12_2019;KDE99;VRM;Rugged;10,29817028
HA13_2020;KDE99;VRM;Rugged;6,828244031
HA11_2019;KDE99;VRM;Rugged;3,422740007
H11_2019;KDE99;VRM;Rugged;-2,123825537
H7_2020;KDE99;VRM;Rugged;0,732292499
H10_2020;KDE99;VRM;Rugged;0,003070404
A4_2020;KDE99;VRM;Rugged;0,236304228
A6_2020_1;KDE99;VRM;Rugged;-0,231843188
A6_2020_2;KDE99;VRM;Rugged;-0,082820929
H6_2021;KDE99;VRM;Rugged;0,989673657
HA17_2020;KDE99;VRM;Rugged;3,650039883
HA1_2020;KDE99;VRM;Rugged;3,73523595
HA9_2020;KDE99;VRM;Rugged;-0,298526539
G2_2022;KDE99;VRM;Rugged;-1,729045744
A6_2021;KDE99;VRM;Rugged;-0,095043118
