ID_pair;Percentage;KDE;Indice
H11_2018;0.88593260393678;KDE99;SI
H4_2018;0.873512569403104;KDE99;SI
G3_2018;0.888107128449118;KDE99;SI
G4_2019;0.668363665901451;KDE99;SI
H10_2019;0.831526048000473;KDE99;SI
G2_2019;0.878168639003314;KDE99;SI
D15_2020;0.868294116586881;KDE99;SI
HA17_2018;0.737414351802239;KDE99;SI
HA12_2019;0.894653561682456;KDE99;SI
HA13_2020;0.884394067035562;KDE99;SI
HA11_2019;0.848121225978246;KDE99;SI
H11_2019;0.86862416537538;KDE99;SI
H7_2020;0.766548400449667;KDE99;SI
H10_2020;0.508873776242698;KDE99;SI
A4_2020;0.637763949984188;KDE99;SI
A6_2020_1;0.894192215438687;KDE99;SI
A6_2020_2;0.527090384540086;KDE99;SI
H6_2021;0.846401074312987;KDE99;SI
HA17_2020;0.923676503616959;KDE99;SI
HA1_2020;0.349210342457985;KDE99;SI
HA9_2020;0.902328501645705;KDE99;SI
G2_2022;0.82232526770695;KDE99;SI
A6_2021;0.833993525734566;KDE99;SI
A2_2021;0.865926574312293;KDE99;SI
H10_2022;0.879668149042522;KDE99;SI
HA15_2022;0.830947921004258;KDE99;SI
H4_2016;0.933819964944795;KDE99;SI
G2_2016;0.847637217980733;KDE99;SI
H1_2016;0.727724963138655;KDE99;SI
H6_2016;0.896091799345869;KDE99;SI
A6_2016;0.732536411374402;KDE99;SI
H10_2017;0.424513010703541;KDE99;SI
A2_2017;0.530214200277181;KDE99;SI
G2_2018;0.767592597745422;KDE99;SI
H4_2019;0.7508051855096;KDE99;SI
H11_2018;0.872914333614071;KDE50;SI
H4_2018;0.627722185537402;KDE50;SI
G3_2018;0.696338649088933;KDE50;SI
G4_2019;0.434560141493876;KDE50;SI
H10_2019;0.49752062486084;KDE50;SI
G2_2019;0.674492604298763;KDE50;SI
D15_2020;0.521139624587775;KDE50;SI
HA17_2018;0.401433735724479;KDE50;SI
HA12_2019;0.631903859765145;KDE50;SI
HA13_2020;0.74685280432259;KDE50;SI
HA11_2019;0.43797535703551;KDE50;SI
H11_2019;0.803974361595092;KDE50;SI
H7_2020;0.636284717699271;KDE50;SI
H10_2020;0.286026596645095;KDE50;SI
A4_2020;0.382099056491922;KDE50;SI
