ID_pair;KDE;Indice;Percentage;Period_num;SizeKDE_adult;Sex_Juvenile;Region;Type_indep
H11_2018;KDE50;LCI;0,804073919;4;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;NA;8;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;NA;5;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;NA;7;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;NA;9;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;0,723721429;1;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;0,805307418;2;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;NA;6;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;LCI;0,808019986;3;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;0,371319542;1;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;0,695146272;2;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;0,720906095;3;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;0,732238782;4;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;NA;5;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;NA;6;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;NA;7;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;NA;8;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;SI;NA;9;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;0,96900942;4;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;NA;8;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;NA;5;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;NA;7;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;NA;9;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;0,885323678;1;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;0,965262857;2;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;NA;6;5321632,328;Female;Massif_Central;Early
H11_2018;KDE50;TI;0,956429383;3;5321632,328;Female;Massif_Central;Early
H11_2018;KDE99;LCI;0,703219958;1;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;0,812244329;4;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;NA;6;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;0,820702564;3;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;NA;7;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;NA;5;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;NA;8;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;0,799511952;2;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;LCI;NA;9;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;0,612110765;1;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;0,851606357;2;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;0,876832336;3;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;0,879698484;4;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;NA;5;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;NA;6;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;NA;7;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;NA;8;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;SI;NA;9;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;0,839959418;1;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;0,8766132;4;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;NA;6;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;0,877490039;3;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;NA;7;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;NA;5;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;NA;8;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;0,894790423;2;197986830,2;Female;Massif_Central;Early
H11_2018;KDE99;TI;NA;9;197986830,2;Female;Massif_Central;Early
H4_2018;KDE50;LCI;0,882041324;3;29231951,47;Male;Massif_Central;Early
H4_2018;KDE50;LCI;0,917103271;5;29231951,47;Male;Massif_Central;Early
H4_2018;KDE50;LCI;0,910948963;6;29231951,47;Male;Massif_Central;Early
H4_2018;KDE50;LCI;NA;7;29231951,47;Male;Massif_Central;Early
H4_2018;KDE50;LCI;NA;9;29231951,47;Male;Massif_Central;Early
