ID_pair;KDE;Period_num;Factor;Level;Difference
H11_2018;KDE50;1;VRM;Flat;-4,866909186
H11_2019;KDE50;1;VRM;Flat;12,09405771
H10_2019;KDE50;1;VRM;Flat;10,32369089
H10_2020;KDE50;1;VRM;Flat;-0,156170877
H10_2022;KDE50;1;VRM;Flat;12,70519643
G2_2016;KDE50;1;VRM;Flat;36,08766856
G2_2018;KDE50;1;VRM;Flat;28,49792497
G2_2019;KDE50;1;VRM;Flat;-52,91233144
G2_2022;KDE50;1;VRM;Flat;29,67590386
HA17_2018;KDE50;1;VRM;Flat;-38,584821
HA17_2020;KDE50;1;VRM;Flat;-14,68607264
HA13_2020;KDE50;1;VRM;Flat;-32,96008886
HA12_2019;KDE50;1;VRM;Flat;2,787774384
H1_2016;KDE50;1;VRM;Flat;24,52709254
H6_2021;KDE50;1;VRM;Flat;-23,87684399
HA11_2019;KDE50;1;VRM;Flat;-16,72136047
A6_2016;KDE50;1;VRM;Flat;7,503782218
A6_2020_1;KDE50;1;VRM;Flat;-24,81958476
A6_2020_2;KDE50;1;VRM;Flat;-26,2881068
A6_2021;KDE50;1;VRM;Flat;-17,20957353
G3_2018;KDE50;1;VRM;Flat;47,89595682
HA1_2020;KDE50;1;VRM;Flat;-9,820462618
HA15_2022;KDE50;1;VRM;Flat;8,618365531
A4_2020;KDE50;1;VRM;Flat;14,4386361
H4_2016;KDE50;1;VRM;Flat;3,797660513
H4_2018;KDE50;1;VRM;Flat;38,16257488
H4_2019;KDE50;1;VRM;Flat;-1,293578523
A2_2017;KDE50;1;VRM;Flat;16,5825969
A2_2021;KDE50;1;VRM;Flat;-8,935784526
HA9_2020;KDE50;1;VRM;Flat;38,07035728
D15_2020;KDE50;1;VRM;Flat;13,14836102
H11_2018;KDE50;1;VRM;Hilly;-6,600723059
H11_2019;KDE50;1;VRM;Hilly;-24,0025655
H10_2019;KDE50;1;VRM;Hilly;-10,32369089
H10_2020;KDE50;1;VRM;Hilly;0,156170877
H10_2022;KDE50;1;VRM;Hilly;-12,70519643
G2_2016;KDE50;1;VRM;Hilly;-42,12608053
G2_2018;KDE50;1;VRM;Hilly;-34,53633694
G2_2019;KDE50;1;VRM;Hilly;46,87391947
G2_2022;KDE50;1;VRM;Hilly;-7,243727592
HA17_2018;KDE50;1;VRM;Hilly;31,22796996
HA17_2020;KDE50;1;VRM;Hilly;10,67973705
HA13_2020;KDE50;1;VRM;Hilly;2,962869611
HA12_2019;KDE50;1;VRM;Hilly;-14,30981427
H1_2016;KDE50;1;VRM;Hilly;-27,555765
H6_2021;KDE50;1;VRM;Hilly;22,15020116
HA11_2019;KDE50;1;VRM;Hilly;4,294337066
A6_2016;KDE50;1;VRM;Hilly;-7,647460379
A6_2020_1;KDE50;1;VRM;Hilly;24,6759066
A6_2020_2;KDE50;1;VRM;Hilly;26,14442864
A6_2021;KDE50;1;VRM;Hilly;17,06589537
G3_2018;KDE50;1;VRM;Hilly;-48,98577278
HA1_2020;KDE50;1;VRM;Hilly;0,960807824
HA15_2022;KDE50;1;VRM;Hilly;-14,26206772
A4_2020;KDE50;1;VRM;Hilly;-14,56678333
H4_2016;KDE50;1;VRM;Hilly;-5,102342017
H4_2018;KDE50;1;VRM;Hilly;-39,2870762
H4_2019;KDE50;1;VRM;Hilly;-0,011102981
A2_2017;KDE50;1;VRM;Hilly;-16,18544745
A2_2021;KDE50;1;VRM;Hilly;8,868537691
HA9_2020;KDE50;1;VRM;Hilly;-40,42279987
D15_2020;KDE50;1;VRM;Hilly;-12,53232939
H11_2018;KDE50;1;VRM;Rugged;11,46763225
H11_2019;KDE50;1;VRM;Rugged;11,90850779
H10_2019;KDE50;1;VRM;Rugged;0
H10_2020;KDE50;1;VRM;Rugged;0
H10_2022;KDE50;1;VRM;Rugged;0
G2_2016;KDE50;1;VRM;Rugged;6,03841197
G2_2018;KDE50;1;VRM;Rugged;6,03841197
G2_2019;KDE50;1;VRM;Rugged;6,03841197
G2_2022;KDE50;1;VRM;Rugged;-22,43217627
HA17_2018;KDE50;1;VRM;Rugged;7,356851047
HA17_2020;KDE50;1;VRM;Rugged;4,006335583
HA13_2020;KDE50;1;VRM;Rugged;29,99721925
HA12_2019;KDE50;1;VRM;Rugged;11,52203989
H1_2016;KDE50;1;VRM;Rugged;3,028672458
H6_2021;KDE50;1;VRM;Rugged;1,726642825
HA11_2019;KDE50;1;VRM;Rugged;12,42702341
A6_2016;KDE50;1;VRM;Rugged;0,143678161
A6_2020_1;KDE50;1;VRM;Rugged;0,143678161
A6_2020_2;KDE50;1;VRM;Rugged;0,143678161
A6_2021;KDE50;1;VRM;Rugged;0,143678161
G3_2018;KDE50;1;VRM;Rugged;1,089815955
HA1_2020;KDE50;1;VRM;Rugged;8,859654793
HA15_2022;KDE50;1;VRM;Rugged;5,643702185
A4_2020;KDE50;1;VRM;Rugged;0,128147233
H4_2016;KDE50;1;VRM;Rugged;1,304681504
H4_2018;KDE50;1;VRM;Rugged;1,124501324
H4_2019;KDE50;1;VRM;Rugged;1,304681504
A2_2017;KDE50;1;VRM;Rugged;-0,397149449
A2_2021;KDE50;1;VRM;Rugged;0,067246835
HA9_2020;KDE50;1;VRM;Rugged;2,352442595
D15_2020;KDE50;1;VRM;Rugged;-0,61603163
G4_2019;KDE99;1;VRM;Flat;42,62991516
H11_2018;KDE99;1;VRM;Flat;14,73741196
H11_2019;KDE99;1;VRM;Flat;27,0828889
H10_2017;KDE99;1;VRM;Flat;13,02459595
H10_2019;KDE99;1;VRM;Flat;3,953449703
H10_2020;KDE99;1;VRM;Flat;6,803221902
H10_2022;KDE99;1;VRM;Flat;10,28526492
G2_2016;KDE99;1;VRM;Flat;31,52564028
G2_2018;KDE99;1;VRM;Flat;28,06885611
G2_2019;KDE99;1;VRM;Flat;20,83434262
G2_2022;KDE99;1;VRM;Flat;38,95206192
HA17_2018;KDE99;1;VRM;Flat;-23,04784039
HA17_2020;KDE99;1;VRM;Flat;-7,81590835
HA13_2020;KDE99;1;VRM;Flat;-5,205984595
HA12_2019;KDE99;1;VRM;Flat;3,535953972
H1_2016;KDE99;1;VRM;Flat;13,40210749
H6_2016;KDE99;1;VRM;Flat;19,26613203
H6_2021;KDE99;1;VRM;Flat;-7,072634821
HA11_2019;KDE99;1;VRM;Flat;-3,574083679
A6_2016;KDE99;1;VRM;Flat;0,667686968
A6_2020_1;KDE99;1;VRM;Flat;-12,9704943
A6_2020_2;KDE99;1;VRM;Flat;-7,358460741
A6_2021;KDE99;1;VRM;Flat;-8,543573394
G3_2018;KDE99;1;VRM;Flat;39,93832772
HA1_2020;KDE99;1;VRM;Flat;3,427771557
HA15_2022;KDE99;1;VRM;Flat;17,79618977
A4_2020;KDE99;1;VRM;Flat;9,691056023
H4_2016;KDE99;1;VRM;Flat;11,28201734
H4_2018;KDE99;1;VRM;Flat;40,00104211
H4_2019;KDE99;1;VRM;Flat;-2,700474561
A2_2017;KDE99;1;VRM;Flat;18,81265675
A2_2021;KDE99;1;VRM;Flat;9,35569558
H7_2020;KDE99;1;VRM;Flat;29,42744854
HA9_2020;KDE99;1;VRM;Flat;37,72341857
D15_2020;KDE99;1;VRM;Flat;11,69035866
G4_2019;KDE99;1;VRM;Hilly;-29,38873494
H11_2018;KDE99;1;VRM;Hilly;-16,00405821
H11_2019;KDE99;1;VRM;Hilly;-24,15060314
H10_2017;KDE99;1;VRM;Hilly;-13,02795605
H10_2019;KDE99;1;VRM;Hilly;-3,956809805
H10_2020;KDE99;1;VRM;Hilly;-6,806582004
H10_2022;KDE99;1;VRM;Hilly;-10,28862502
G2_2016;KDE99;1;VRM;Hilly;-34,5518836
G2_2018;KDE99;1;VRM;Hilly;-31,21726432
G2_2019;KDE99;1;VRM;Hilly;-24,80353111
G2_2022;KDE99;1;VRM;Hilly;-21,19884868
HA17_2018;KDE99;1;VRM;Hilly;14,27604889
HA17_2020;KDE99;1;VRM;Hilly;1,579997169
HA13_2020;KDE99;1;VRM;Hilly;-0,916266872
HA12_2019;KDE99;1;VRM;Hilly;-14,99408054
H1_2016;KDE99;1;VRM;Hilly;-15,39359868
H6_2016;KDE99;1;VRM;Hilly;-19,65672113
H6_2021;KDE99;1;VRM;Hilly;6,274615484
HA11_2019;KDE99;1;VRM;Hilly;-0,411901586
A6_2016;KDE99;1;VRM;Hilly;-0,877601691
A6_2020_1;KDE99;1;VRM;Hilly;13,22732404
A6_2020_2;KDE99;1;VRM;Hilly;7,422749774
A6_2021;KDE99;1;VRM;Hilly;8,592257068
G3_2018;KDE99;1;VRM;Hilly;-37,53327348
HA1_2020;KDE99;1;VRM;Hilly;-8,78577864
HA15_2022;KDE99;1;VRM;Hilly;-19,56911252
A4_2020;KDE99;1;VRM;Hilly;-9,708159521
H4_2016;KDE99;1;VRM;Hilly;-11,19821552
H4_2018;KDE99;1;VRM;Hilly;-39,0038423
H4_2019;KDE99;1;VRM;Hilly;1,669034747
A2_2017;KDE99;1;VRM;Hilly;-19,22276908
A2_2021;KDE99;1;VRM;Hilly;-9,956413538
H7_2020;KDE99;1;VRM;Hilly;-30,56894098
HA9_2020;KDE99;1;VRM;Hilly;-35,17427666
D15_2020;KDE99;1;VRM;Hilly;-11,12792567
G4_2019;KDE99;1;VRM;Rugged;-13,24118022
H11_2018;KDE99;1;VRM;Rugged;1,266646251
H11_2019;KDE99;1;VRM;Rugged;-2,932285764
H10_2017;KDE99;1;VRM;Rugged;0,003360102
H10_2019;KDE99;1;VRM;Rugged;0,003360102
H10_2020;KDE99;1;VRM;Rugged;0,003360102
H10_2022;KDE99;1;VRM;Rugged;0,003360102
G2_2016;KDE99;1;VRM;Rugged;3,026243318
G2_2018;KDE99;1;VRM;Rugged;3,148408208
G2_2019;KDE99;1;VRM;Rugged;3,969188482
G2_2022;KDE99;1;VRM;Rugged;-17,75321324
HA17_2018;KDE99;1;VRM;Rugged;8,771791494
HA17_2020;KDE99;1;VRM;Rugged;6,235911181
HA13_2020;KDE99;1;VRM;Rugged;6,122251467
HA12_2019;KDE99;1;VRM;Rugged;11,45812657
H1_2016;KDE99;1;VRM;Rugged;1,991491194
H6_2016;KDE99;1;VRM;Rugged;0,3905891
H6_2021;KDE99;1;VRM;Rugged;0,798019337
HA11_2019;KDE99;1;VRM;Rugged;3,985985265
A6_2016;KDE99;1;VRM;Rugged;0,209914722
A6_2020_1;KDE99;1;VRM;Rugged;-0,256829735
A6_2020_2;KDE99;1;VRM;Rugged;-0,064289032
A6_2021;KDE99;1;VRM;Rugged;-0,048683675
