"","metrics","plot","treatment","number","values","refvalues"
"28","D","AUS","0600kHz","001",0.175717848981732,0.175913368342112
"29","H","AUS","0600kHz","001",16.210000276566,16.20999956131
"30","CA","AUS","0600kHz","001",9.63664640499996,9.77293114499998
"31","D","AUS","0600kHz","002",0.377101311905643,0.376421704076796
"32","H","AUS","0600kHz","002",24.905249834061,24.839250802994
"33","CA","AUS","0600kHz","002",49.08903152,47.8324293699999
"34","D","AUS","0600kHz","004",0.596271400825558,0.601237761600404
"35","H","AUS","0600kHz","004",24.548750162124,24.547249555588
"36","CA","AUS","0600kHz","004",95.8068120399998,95.5281899550011
"37","D","AUS","0600kHz","005",0.635813641849276,0.638349346997811
"38","H","AUS","0600kHz","005",27.516000270844,27.447000980377
"39","CA","AUS","0600kHz","005",139.64105024,137.231740175
"40","D","AUS","0600kHz","006",0.290893166205952,0.29374955504423
"41","H","AUS","0600kHz","006",12.013500213623,12.041000366211
"42","CA","AUS","0600kHz","006",22.35116781,22.185612115
"43","D","AUS","0600kHz","007",0.21709771303022,0.220928818622019
"44","H","AUS","0600kHz","007",8.91050028801,8.90174984932
"45","CA","AUS","0600kHz","007",14.426094115,14.392617215
"46","D","AUS","0600kHz","008",0.279207983244349,0.279933975500878
"47","H","AUS","0600kHz","008",11.798249721527,11.795000076294
"48","CA","AUS","0600kHz","008",26.428063095,26.3182260999999
"49","D","AUS","0600kHz","009",0.2119252918899,0.214707448560672
"50","H","AUS","0600kHz","009",8.313749790192,8.329749822617
"51","CA","AUS","0600kHz","009",13.10290768,13.05916329
"52","D","AUS","0600kHz","010",0.0979752411298275,0.0988075693663781
"53","H","AUS","0600kHz","010",5.394999980926,5.390000104904
"54","CA","AUS","0600kHz","010",3.95788132500002,4.10691912000001
"55","D","AUS","1200kHz","001",0.174293129831205,0.175913368342112
"56","H","AUS","1200kHz","001",16.232249736786,16.20999956131
"57","CA","AUS","1200kHz","001",9.60205026999997,9.77293114499998
"58","D","AUS","1200kHz","002",0.37522994006985,0.376421704076796
"59","H","AUS","1200kHz","002",24.853500366211,24.839250802994
"60","CA","AUS","1200kHz","002",52.5136574600003,47.8324293699999
"61","D","AUS","1200kHz","004",0.597079934196432,0.601237761600404
"62","H","AUS","1200kHz","004",24.541999340057,24.547249555588
"63","CA","AUS","1200kHz","004",95.8912898000002,95.5281899550011
"64","D","AUS","1200kHz","005",0.636865292911036,0.638349346997811
"65","H","AUS","1200kHz","005",27.48125052452,27.447000980377
"66","CA","AUS","1200kHz","005",139.802629635,137.231740175
"67","D","AUS","1200kHz","006",0.290668456340042,0.29374955504423
"68","H","AUS","1200kHz","006",12.010750055313,12.041000366211
"69","CA","AUS","1200kHz","006",22.36559634,22.185612115
"70","D","AUS","1200kHz","007",0.217497644446479,0.220928818622019
"71","H","AUS","1200kHz","007",8.867249965667,8.90174984932
"72","CA","AUS","1200kHz","007",14.518943115,14.392617215
"73","D","AUS","1200kHz","008",0.280958155332559,0.279933975500878
"74","H","AUS","1200kHz","008",11.797250270843,11.795000076294
"75","CA","AUS","1200kHz","008",26.44409292,26.3182260999999
"76","D","AUS","1200kHz","009",0.210212230285164,0.214707448560672
"77","H","AUS","1200kHz","009",8.336999893189,8.329749822617
"78","CA","AUS","1200kHz","009",13.360538995,13.05916329
"79","D","AUS","1200kHz","010",0.0975618194261313,0.0988075693663781
"80","H","AUS","1200kHz","010",5.381749868393,5.390000104904
"81","CA","AUS","1200kHz","010",4.0907001,4.10691912000001
"13","D","AUS","0600kHz","011",0.23160212633205,0.232682933525084
"14","H","AUS","0600kHz","011",11.539999961853,11.540750026703
"15","CA","AUS","0600kHz","011",15.6931080799999,15.718506995
"16","D","AUS","0600kHz","012",0.120955425755646,0.120439488677521
"17","H","AUS","0600kHz","012",6.517500162125,6.486000061035
"18","CA","AUS","0600kHz","012",4.29382043499999,4.25293738500001
"19","D","AUS","0600kHz","014",0.172524102273467,0.177164135229153
"20","H","AUS","0600kHz","014",8.59500002861,8.592250108719
"21","CA","AUS","0600kHz","014",19.6827251450002,19.94957512
"22","D","AUS","0600kHz","015",0.267949074899723,0.268662547974415
"23","H","AUS","0600kHz","015",21.201499700547,21.21199965477
"24","CA","AUS","0600kHz","015",37.9352478750001,38.6715523549998
"25","D","AUS","1200kHz","011",0.230487792114897,0.232682933525084
"26","H","AUS","1200kHz","011",11.548500061035,11.540750026703
"27","CA","AUS","1200kHz","011",15.73066839,15.718506995
"281","D","AUS","1200kHz","012",0.117909424856667,0.120439488677521
"291","H","AUS","1200kHz","012",6.49974989891,6.486000061035
"301","CA","AUS","1200kHz","012",4.32747738499997,4.25293738500001
"311","D","AUS","1200kHz","014",0.172317187329595,0.177164135229153
"321","H","AUS","1200kHz","014",8.596250295639,8.592250108719
"331","CA","AUS","1200kHz","014",19.7554439000001,19.94957512
"341","D","AUS","1200kHz","015",0.265472442013027,0.268662547974415
"351","H","AUS","1200kHz","015",21.242249011993,21.21199965477
"361","CA","AUS","1200kHz","015",38.375442125,38.6715523549998
"161","D","AUS","0600kHz","016",0.0830906719244184,0.0865785880174339
"171","H","AUS","0600kHz","016",5.274999976158,5.269749999046
"181","CA","AUS","0600kHz","016",4.56889707999998,4.48728836000003
"191","D","AUS","0600kHz","017",0.17826163468688,0.180462470848417
"201","H","AUS","0600kHz","017",11.018999814987,11.015500307083
"211","CA","AUS","0600kHz","017",17.78957166,18.7280812949998
"221","D","AUS","0600kHz","018",0.106983088775711,0.107872173443627
"231","H","AUS","0600kHz","018",12.895000219345,12.894749641418
"241","CA","AUS","0600kHz","018",4.22316025999991,4.66672992500006
"251","D","AUS","0600kHz","019",0.185904068338851,0.187675241870731
"261","H","AUS","0600kHz","019",14.730499982834,14.701500177383
"271","CA","AUS","0600kHz","019",21.0675519699999,21.3514583800002
"282","D","AUS","0600kHz","020",0.307687431350881,0.304032259483907
"292","H","AUS","0600kHz","020",20.543249845505,20.534500122071
"302","CA","AUS","0600kHz","020",50.9357556000002,51.2302847699997
"312","D","AUS","1200kHz","016",0.087316967646582,0.0865785880174339
"322","H","AUS","1200kHz","016",5.284249901771,5.269749999046
"332","CA","AUS","1200kHz","016",4.50468760499995,4.48728836000003
"342","D","AUS","1200kHz","017",0.180570353610735,0.180462470848417
"352","H","AUS","1200kHz","017",11.020250082016,11.015500307083
"362","CA","AUS","1200kHz","017",18.19236792,18.7280812949998
"371","D","AUS","1200kHz","018",0.103849478385016,0.107872173443627
"381","H","AUS","1200kHz","018",12.892749786377,12.894749641418
"391","CA","AUS","1200kHz","018",5.3981930900001,4.66672992500006
"401","D","AUS","1200kHz","019",0.18377599384395,0.187675241870731
"411","H","AUS","1200kHz","019",14.709499835968,14.701500177383
"421","CA","AUS","1200kHz","019",20.9885581000001,21.3514583800002
"431","D","AUS","1200kHz","020",0.306013525152682,0.304032259483907
"441","H","AUS","1200kHz","020",20.530499458313,20.534500122071
"451","CA","AUS","1200kHz","020",49.0046411600006,51.2302847699997
"313","D","AUS","0600kHz","021",0.228420122499302,0.230504476629759
"323","H","AUS","0600kHz","021",18.927500247955,18.954999923706
"333","CA","AUS","0600kHz","021",9.21317841500012,9.201698895
"343","D","AUS","0600kHz","022",0.238339406371362,0.2414185180845
"353","H","AUS","0600kHz","022",10.398499727249,10.374500274659
"363","CA","AUS","0600kHz","022",24.0501202700001,24.1519918549999
"372","D","AUS","0600kHz","023",0.0741742080778786,0.0691973321007482
"382","H","AUS","0600kHz","023",4.884250044823,4.87399995327
"392","CA","AUS","0600kHz","023",1.82582188000005,1.82696063000001
"402","D","AUS","0600kHz","024",0.079436956381903,0.0778951648543126
"412","H","AUS","0600kHz","024",7.765250205994,7.750750064849
"422","CA","AUS","0600kHz","024",2.75831765999994,2.79257398500003
"432","D","AUS","0600kHz","025",0.238185574625575,0.147562214717441
"442","H","AUS","0600kHz","025",8.664000034333,8.661499977112
"452","CA","AUS","0600kHz","025",16.3992771999998,15.37216341
