sRNA;TA_merge_readcount;TB_readcunt;log2FoldChange;pval;padj;significant
hsa-let-7a-3p;26.8632902608069;0;7.80264133080152;8.28134473027678e-06;5.63491500125355e-05;TRUE
hsa-let-7a-5p;5217.4479306545;16998.0667136001;-1.79772702939531;2.16394045150605e-05;0.000135462672264279;TRUE
hsa-let-7b-3p;26.8632902608069;0;7.80264133080152;8.28134473027678e-06;5.63491500125355e-05;TRUE
hsa-let-7b-5p;3325.0783722821;12103.9528979215;-1.95777545777991;4.25867719181111e-06;3.65196153708733e-05;TRUE
hsa-let-7c-5p;417.873404056996;1454.02888554526;-1.89240961603518;1.21599342512747e-05;8.18507402290101e-05;TRUE
hsa-let-7d-3p;1232.72654196814;857.676024653428;0.429502683421145;0.301735234188635;0.592347756701553;FALSE
hsa-let-7d-5p;847.686048229907;1320.01700669317;-0.732669031650055;0.0799666056317503;0.208708031421255;FALSE
hsa-let-7e-5p;86.5594908403778;427.497893538193;-2.39631894009278;3.03166343977891e-07;3.06100211822839e-06;TRUE
hsa-let-7f-2-3p;0;0;0;1;1;FALSE
hsa-let-7f-5p;9730.48069447006;25991.6039033644;-1.51124741682669;0.000314890113901427;0.00135945662967099;TRUE
hsa-let-7g-3p;0;29.4826133474616;-8.02972110423972;2.5866634301511e-06;2.24896014899248e-05;TRUE
hsa-let-7g-5p;2796.7669971529;7524.76699754531;-1.52164258315566;0.000296563243275152;0.00128922632146004;TRUE
hsa-let-7i-3p;0;0;0;1;1;FALSE
hsa-let-7i-5p;25758.9105500849;39083.2243484259;-0.695271697125539;0.0917089044098083;0.235285959674344;FALSE
hsa-miR-100-5p;65.665820637528;127.311284909493;-1.04757206553112;0.0293059971074556;0.0886258656486339;FALSE
hsa-miR-101-3p;829.777188056036;2212.53611984814;-1.50856520310272;0.000375297076608853;0.00160915047915851;TRUE
hsa-miR-10399-3p;0;1.34011878852098;-3.68179975250848;1;1;FALSE
hsa-miR-10399-5p;0;0;0;1;1;FALSE
hsa-miR-103a-3p;408.918973970061;2519.42332241944;-2.71664152005957;9.56234991519468e-10;2.13786823103995e-08;TRUE
hsa-miR-103b;408.918973970061;2447.05690783931;-2.67459754122308;1.63344945487435e-09;2.92411036569306e-08;TRUE
hsa-miR-10401-3p;0;0;0;1;1;FALSE
hsa-miR-106a-5p;26.8632902608069;17.4215442507728;0.528095214966274;0.442660214353587;0.832148030586622;FALSE
hsa-miR-106b-3p;322.359483129683;242.561500722298;0.316390831542874;0.463069568154331;0.865318058700333;FALSE
hsa-miR-106b-5p;38.8025303767211;17.4215442507728;1.05662035114878;0.0812892916133328;0.211149778215545;FALSE
hsa-miR-107;14.9240501448927;65.6658206375281;-2.22214961623439;0.000242489338922261;0.00109341329386026;TRUE
hsa-miR-10a-3p;44.7721504346782;0;8.53701993486662;2.09586276977436e-08;2.9818411224517e-07;TRUE
hsa-miR-10a-5p;1749.09867698143;1155.18239570509;0.504652903961902;0.224565916583163;0.496742981558516;FALSE
hsa-miR-10b-3p;0;0;0;1;1;FALSE
hsa-miR-10b-5p;2871.38724787736;1105.59800052981;1.28303757973494;0.00221812072633669;0.00831463218375309;TRUE
hsa-miR-11400;98.498730956292;97.8286715620316;-0.0838486358444375;0.898480050508807;1;FALSE
hsa-miR-11401;0;0;0;1;1;FALSE
hsa-miR-1180-3p;26.8632902608069;0;7.80264133080152;8.28134473027678e-06;5.63491500125355e-05;TRUE
hsa-miR-1185-1-3p;0;36.1832072900665;-8.32415428885755;2.50561571577521e-07;2.57133678372997e-06;TRUE
hsa-miR-1193;0;0;0;1;1;FALSE
hsa-miR-1197;0;0;0;1;1;FALSE
hsa-miR-122-5p;1853.56702799568;2445.71678905079;-0.493722172154586;0.233451928283443;0.510982192676348;FALSE
hsa-miR-1226-3p;0;0;0;1;1;FALSE
hsa-miR-1228-5p;0;36.1832072900665;-8.32415428885755;2.50561571577521e-07;2.57133678372997e-06;TRUE
hsa-miR-1229-3p;0;5.36047515408392;-5.59492079431719;0.0409645848047624;0.115512748143159;FALSE
hsa-miR-122b-3p;1853.56702799568;2445.71678905079;-0.493722172154586;0.233451928283443;0.510982192676348;FALSE
hsa-miR-124-3p;0;0;0;1;1;FALSE
hsa-miR-1246;0;5.36047515408392;-5.59492079431719;0.0409645848047624;0.115512748143159;FALSE
hsa-miR-1255a;0;0;0;1;1;FALSE
hsa-miR-1256;0;0;0;1;1;FALSE
hsa-miR-125a-3p;0;0;0;1;1;FALSE
hsa-miR-125a-5p;949.169589215178;700.882126396473;0.343648266311737;0.413683022392774;0.789529182981331;FALSE
hsa-miR-125b-2-3p;0;0;0;1;1;FALSE
hsa-miR-125b-5p;2.98481002897855;12.0610690966888;-2.06466155798322;0.0883315892041971;0.227553805933446;FALSE
hsa-miR-126-3p;27203.5586041105;25942.0195081892;-0.0252916626292519;0.950961324486779;1;FALSE
hsa-miR-126-5p;149.240501448927;202.357937066668;-0.532706022757825;0.231630505598409;0.51056583276269;FALSE
hsa-miR-1271-5p;0;26.8023757704196;-7.89276953660515;7.53306593440234e-06;5.54788149992454e-05;TRUE
hsa-miR-1273h-3p;50.7417704926353;48.2442763867553;-0.020930810454114;1;1;FALSE
hsa-miR-1273h-5p;0;0;0;1;1;FALSE
