Sample ID,Species,Sex,Collection_Date,Site,Latitude,Longitude,Time_Chill_Coma_minutes,Mass_Before_CTmax_mg,Mass_After_CTmax_mg,deltaMass_mg,CTmax_Celsius,Time_to_CTmax_min,28sReferenceGene_RawCT_Mean,Trypanosome_RawCT_Mean,Trypanosome_DeltaCT,Trypanosome_ddCT,Trypanosome_2^-ddCT,Trypanosome_log(2^-ddCT),Trypanosome_RelativeIntensity_AdjustedforThreshold,Vairimorpha_apis_RawCT_Mean,Vairimorpha_apis_DeltaCT,Vairimorpha_apis_ddCT,Vairimorpha_apis_2^-ddCT,Vairimorpha_apis_log(2^-ddCT),Vairimorpha_apis_RelativeIntensity_AdjustedforThreshold,Spiroplasma_apis_RawCT_Mean,Spiroplasma_apis_DeltaCT,Spiroplasma_apis_ddCT,Spiroplasma_apis_2^-ddCT,Spiroplasma_apis_log(2^-ddCT),Spiroplasma_apis_RelativeIntensity_AdjustedforThreshold
epl0038,Xenoglossa_pruinosa,Male,7/18/2019,Bellefonte,40.934,-77.68,96,73.3,59.5,-13.8,45.24,180.96,13.60537,32.46978,18.86441,-11.686,3294.925,3.517846,3.517846,28.85752,15.25215,-13.3988,10800.57,4.033447,4.033447,34.85225,21.24688,-10.0277,1043.86,3.018642,3.018642
epl0039,Xenoglossa_pruinosa,Female,7/18/2019,Bellefonte,40.934,-77.68,96,110,100.3,-9.7,44.61,178.44,11.55386,32.77536,21.2215,-9.32894,643.1182,2.808291,2.808291,25.78829,14.23443,-14.4165,21868.1,4.339811,4.339811,41,29.44614,-1.82845,3.55156,0.550419,0
epl0040,Xenoglossa_pruinosa,Male,7/18/2019,Bellefonte,40.934,-77.68,96,102.2,84.6,-17.6,47.59,190.36,13.62576,33.71006,20.0843,-10.4661,1414.562,3.150622,3.150622,29.39773,15.77197,-12.879,7532.954,3.876965,3.876965,37.4733,23.84754,-7.42705,172.094,2.235766,0
epl0041,Xenoglossa_pruinosa,Female,7/18/2019,Bellefonte,40.934,-77.68,96,108.1,87.5,-20.6,51.81,207.24,12.55987,33.24249,20.68262,-9.86782,934.3505,2.97051,2.97051,28.56805,16.00818,-12.6428,6395.272,3.805859,3.805859,35.78921,23.22934,-8.04525,264.1572,2.421862,0
epl0042,Xenoglossa_pruinosa,Male,7/18/2019,Bellefonte,40.934,-77.68,96,55.9,51.4,-4.5,38.07,152.28,12.81164,34.19675,21.38511,-9.16533,574.1684,2.759039,2.759039,28.3824,15.57076,-13.0802,8660.352,3.937536,3.937536,34.93268,22.12104,-9.15355,569.5004,2.755494,2.755494
epl0043,Xenoglossa_pruinosa,Female,7/18/2019,Bellefonte,40.934,-77.68,96,111.6,83.8,-27.8,47.29,189.16,13.29816,33.42563,20.12747,-10.423,1372.861,3.137627,3.137627,29.17639,15.87823,-12.7727,6998.063,3.844978,3.844978,32.17666,18.8785,-12.3961,5390.088,3.731596,3.731596
epl0044,Xenoglossa_pruinosa,Male,7/18/2019,Bellefonte,40.934,-77.68,96,71.8,55.4,-16.4,48.9,195.6,13.32436,34.57092,21.24656,-9.30388,632.0435,2.800747,2.800747,30.16926,16.8449,-11.8061,3580.809,3.553981,3.553981,30.83937,17.51501,-13.7596,13869.07,4.142047,4.142047
epl0045,Xenoglossa_pruinosa,Female,7/18/2019,Bellefonte,40.934,-77.68,96,93.3,77.6,-15.7,48.04,192.16,11.6092,32.15859,20.54939,-10.0011,1024.746,3.010616,3.010616,28.11787,16.50867,-12.1423,4520.605,3.655197,3.655197,33.83518,22.22598,-9.04861,529.5463,2.723904,2.723904
epl0046,Xenoglossa_pruinosa,Male,7/18/2019,Bellefonte,40.934,-77.68,96,66.7,47.3,-19.4,51.29,205.16,13.75172,33.84255,20.09083,-10.4596,1408.174,3.148656,3.148656,29.77855,16.02683,-12.6241,6313.131,3.800245,3.800245,33.06547,19.31375,-11.9608,3986.323,3.600573,3.600573
epl0047,Xenoglossa_pruinosa,Male,7/18/2019,Bellefonte,40.934,-77.68,96,76.3,53.3,-23,51.78,207.12,12.83169,33.99401,21.16232,-9.38812,670.0477,2.826106,2.826106,30.57748,17.74579,-10.9052,1917.719,3.282785,3.282785,33.1987,20.36701,-10.9076,1920.922,3.28351,3.28351
