Site,Latitude,Longitude,Species,Sex,Average_Mass_mg,StandardDeviation_Mass_mg,Time_Chill_Coma_minutes,CTmax_Average_Celsius,CTmax_StandardDeviation_Celsius,Soil_Composition,Proportion_Sand_%,Proportion_Silt_%,Proportion_Clay_%,HOBO_Probe_August_Daily_Average_Tmin_Celsius,HOBO_Probe_August_Daily_Average_Tmax_Celsius,PestWatch_July_Daily_Average_Tmin_Celsius,PestWatch_July_Daily_Average_Tmax_Celsius,PestWatch_August_Daily_Average_Tmin_Celsius,PestWatch_August_Daily_Average_Tmax_Celsius,PRISM_Precipitation_July_mm,SoilTexture_PC1,SoilTexture_PC2,SoilTexture_PC3
Altoona,40.59,-78.261,Xenoglossa_pruinosa,Female,109,21.9,185,44.7,2.74,silty_clay_loam,17.3,51.2,31.4,14.70402,32.65862,18.60613,30.01065,16.3171,28.09419,1.802581,-0.763617,-0.19266,-4.67E-03
Bellefonte,40.934,-77.676,Xenoglossa_pruinosa,Female,120,16.6,96,47.3,3.92,clay_loam,33.8,37.4,28.9,14.84197,31.69435,17.38484,29.2371,15.71613,27.27355,4.064,0.892746,0.781246,4.36E-03
Berwick,41.051,-76.335,Xenoglossa_pruinosa,Female,122,20.2,156,47,2.76,loam,40.7,41.8,17.4,15.81737,32.24287,18.5429,30.68323,16.49452,28.07806,5.407742,1.52622,-0.421467,-4.51E-03
Butler,40.841,-80.05,Xenoglossa_pruinosa,Female,120,23.1,278,45.1,3.85,clay_loam,28.6,43.9,27.5,15.89902,31.90306,17.49323,28.1229,15.63613,26.30323,5.612581,0.35689,0.135475,-6.59E-05
Danville,40.947,-76.635,Xenoglossa_pruinosa,Female,124,17.4,174,47.3,3.57,loam,38.7,44.9,16.4,16.52918,31.87304,19.18774,30.63742,17.17419,27.99032,4.817806,1.307633,-0.753822,4.16E-04
Holtwood,39.862,-76.306,Xenoglossa_pruinosa,Female,115,10.6,242,46.6,3.13,silty_clay_loam,12.7,53,34.3,17.18853,31.91117,19.59871,29.66097,18.23548,27.33903,6.243484,-1.219197,-0.133114,5.17E-05
Loganton,41.036,-77.272,Xenoglossa_pruinosa,Female,122,32,100,47.4,4.05,silty_clay_loam,6.7,56.6,36.7,13.71437,32.0434,17.23645,28.27,15.08129,26.22645,4.399935,-1.815181,-0.260423,1.10E-04
Muncy,41.218,-76.814,Xenoglossa_pruinosa,Female,127,20.4,140,45,3.45,sandy_loam,67,23,10,16.29547,31.86521,18.8871,30.09194,16.83355,27.78097,6.628581,4.155277,0.615733,-2.61E-04
Myerstown,40.365,-76.334,Xenoglossa_pruinosa,Female,117,17.5,220,43.8,2.97,silty_clay,6.4,47.3,46.3,16.4616,33.70605,19.5,30.44323,17.86355,28.21903,5.612581,-1.774488,1.2151,-6.66E-04
Pennsylvania_Furnace,40.71,-77.95,Xenoglossa_pruinosa,Female,90.5,12.9,90,45.8,3.79,clay_loam,21.2,49.3,29.5,14.76624,30.83276,17.69032,29.49226,16.00355,26.96613,2.589161,-0.385296,-0.171604,8.45E-05
Quarryville,39.877,-76.183,Xenoglossa_pruinosa,Female,127,21.9,287,46.4,6,loam,29.7,45.3,25,17.61789,33.71252,19.66161,29.71484,18.18677,27.53452,5.661742,0.450836,-0.163199,9.27E-05
Strasburg,39.97,-76.198,Xenoglossa_pruinosa,Female,141,21.2,226,49,3.09,silty_clay_loam,16.8,50.8,32.4,16.17214,32.95649,19.76774,30.56613,18.12677,28.4771,5.145548,-0.813874,-0.086762,3.34E-05
Tyrone,40.604,-78.22,Xenoglossa_pruinosa,Female,139,25.4,106,44,2.98,silty_clay,7.8,52.2,40,14.27539,33.29393,17.70097,30.25065,15.6971,28.37484,1.909097,-1.678107,0.347544,-2.08E-04
Wexford,40.612,-80.093,Xenoglossa_pruinosa,Female,123,31.7,228,43.8,4.47,silt_loam,23.1,53.2,23.8,16.44834,31.05382,18.23387,28.7029,16.64,27.15548,5.006258,-0.239841,-0.912045,5.23E-03
Altoona,40.59,-78.261,Xenoglossa_pruinosa,Male,67.4,10.2,185,39.8,2.38,silty_clay_loam,17.3,51.2,31.4,14.70402,32.65862,18.60613,30.01065,16.3171,28.09419,1.802581,-0.763617,-0.19266,-4.67E-03
Bellefonte,40.934,-77.676,Xenoglossa_pruinosa,Male,84.2,17.9,96,46.7,4.15,clay_loam,33.8,37.4,28.9,14.84197,31.69435,17.38484,29.2371,15.71613,27.27355,4.064,0.892746,0.781246,4.36E-03
Berwick,41.051,-76.335,Xenoglossa_pruinosa,Male,82.6,20.4,156,46.7,3.15,loam,40.7,41.8,17.4,15.81737,32.24287,18.5429,30.68323,16.49452,28.07806,5.407742,1.52622,-0.421467,-4.51E-03
Butler,40.841,-80.05,Xenoglossa_pruinosa,Male,85.2,23.5,278,46,4.65,clay_loam,28.6,43.9,27.5,15.89902,31.90306,17.49323,28.1229,15.63613,26.30323,5.612581,0.35689,0.135475,-6.59E-05
Danville,40.947,-76.635,Xenoglossa_pruinosa,Male,87.3,16.2,174,48.6,2.68,loam,38.7,44.9,16.4,16.52918,31.87304,19.18774,30.63742,17.17419,27.99032,4.817806,1.307633,-0.753822,4.16E-04
Holtwood,39.862,-76.306,Xenoglossa_pruinosa,Male,79.9,7.74,242,45.5,2.94,silty_clay_loam,12.7,53,34.3,17.18853,31.91117,19.59871,29.66097,18.23548,27.33903,6.243484,-1.219197,-0.133114,5.17E-05
Loganton,41.036,-77.272,Xenoglossa_pruinosa,Male,85,25.3,100,44,4.56,silty_clay_loam,6.7,56.6,36.7,13.71437,32.0434,17.23645,28.27,15.08129,26.22645,4.399935,-1.815181,-0.260423,1.10E-04
Muncy,41.218,-76.814,Xenoglossa_pruinosa,Male,80,16.7,140,45.8,2.97,sandy_loam,67,23,10,16.29547,31.86521,18.8871,30.09194,16.83355,27.78097,6.628581,4.155277,0.615733,-2.61E-04
Myerstown,40.365,-76.334,Xenoglossa_pruinosa,Male,86.8,18.3,220,41.7,2.76,silty_clay,6.4,47.3,46.3,16.4616,33.70605,19.5,30.44323,17.86355,28.21903,5.612581,-1.774488,1.2151,-6.66E-04
Pennsylvania_Furnace,40.71,-77.95,Xenoglossa_pruinosa,Male,46.8,15,90,42.7,3.3,clay_loam,21.2,49.3,29.5,14.76624,30.83276,17.69032,29.49226,16.00355,26.96613,2.589161,-0.385296,-0.171604,8.45E-05
Quarryville,39.877,-76.183,Xenoglossa_pruinosa,Male,90.5,11.7,287,47.2,3.89,loam,29.7,45.3,25,17.61789,33.71252,19.66161,29.71484,18.18677,27.53452,5.661742,0.450836,-0.163199,9.27E-05
Strasburg,39.97,-76.198,Xenoglossa_pruinosa,Male,88.5,11.8,226,47.9,1.47,silty_clay_loam,16.8,50.8,32.4,16.17214,32.95649,19.76774,30.56613,18.12677,28.4771,5.145548,-0.813874,-0.086762,3.34E-05
Tyrone,40.604,-78.22,Xenoglossa_pruinosa,Male,100,19.3,106,48.6,3.39,silty_clay,7.8,52.2,40,14.27539,33.29393,17.70097,30.25065,15.6971,28.37484,1.909097,-1.678107,0.347544,-2.08E-04
Wexford,40.612,-80.093,Xenoglossa_pruinosa,Male,68.2,23.1,228,42.8,2.99,silt_loam,23.1,53.2,23.8,16.44834,31.05382,18.23387,28.7029,16.64,27.15548,5.006258,-0.239841,-0.912045,5.23E-03
