TargetName,HUGOSymbol,TargetGroup,AnalyteType,CodeClass,ProbePool,MinCount,MaxCount,MedianCount,GeomeanCount,NumberOfProbesIncluded,NumberOfProbesTotal,GeneID
ADCK5,ADCK5,All Targets,RNA,Endogenous,1,1,68,15,12.93162333,1,1,203054
SLC14A2,SLC14A2,All Targets,RNA,Endogenous,1,1,32,9,7.268219,1,1,8170
ERGIC1,ERGIC1,All Targets,RNA,Endogenous,1,1,119,28,27.53117937,1,1,57222
OR5M3,OR5M3,All Targets,RNA,Endogenous,1,1,41,10,7.79940402,1,1,219482
SFTPC,SFTPC,All Targets,RNA,Endogenous,1,1,43,9,7.864422489,1,1,6440
TLNRD1,TLNRD1,All Targets,RNA,Endogenous,1,1,35,9,7.342542716,1,1,59274
COQ10B,COQ10B,All Targets,RNA,Endogenous,1,1,68,14,11.36518258,1,1,80219
MUC20,MUC20,All Targets,RNA,Endogenous,1,1,151,26,22.01770098,1,1,200958
EPHA1,EPHA1,All Targets,RNA,Endogenous,1,1,32,8,7.352769215,1,1,2041
PROKR2,PROKR2,All Targets,RNA,Endogenous,1,1,34,8,7.401462073,1,1,128674
TLE4,TLE4,All Targets,RNA,Endogenous,1,1,61,13,11.45154448,1,1,7091
HMSD,HMSD,All Targets,RNA,Endogenous,1,1,30,5,4.790664446,1,1,284293
RDH11,RDH11,All Targets,RNA,Endogenous,1,1,78,16,12.83887909,1,1,51109
PRKCE,PRKCE,All Targets,RNA,Endogenous,1,1,20,6,5.212751012,1,1,5581
DOCK9,DOCK9,All Targets,RNA,Endogenous,1,1,60,14,12.36992702,1,1,23348
CARD17,CARD17,All Targets,RNA,Endogenous,1,1,20,5,4.438504174,1,1,440068
ZBTB32,ZBTB32,All Targets,RNA,Endogenous,1,1,37,5,5.008985615,1,1,27033
MPP2,MPP2,All Targets,RNA,Endogenous,1,1,64,14,11.85285372,1,1,4355
ASB8,ASB8,All Targets,RNA,Endogenous,1,1,62,11,10.2819016,1,1,140461
SIPA1L2,SIPA1L2,All Targets,RNA,Endogenous,1,1,16,3,2.978263135,1,1,57568
SHOX,SHOX,All Targets,RNA,Endogenous,1,1,19,3,3.082306794,1,1,6473
OR2L5,OR2L5,All Targets,RNA,Endogenous,1,1,53,11,9.254199982,1,1,81466
GSTM2,GSTM2,All Targets,RNA,Endogenous,1,1,51,8,6.989287675,1,1,2946
CLEC4F,CLEC4F,All Targets,RNA,Endogenous,1,1,34,6,5.047976726,1,1,165530
SMIM9,SMIM9,All Targets,RNA,Endogenous,1,1,30,6,4.74246809,1,1,100132963
COQ6,COQ6,All Targets,RNA,Endogenous,1,1,33,7,5.298555259,1,1,51004
MDGA2,MDGA2,All Targets,RNA,Endogenous,1,1,33,6,5.121048335,1,1,161357
OR6C74,OR6C74,All Targets,RNA,Endogenous,1,1,79,15,13.02378497,1,1,254783
MAGOHB,MAGOHB,All Targets,RNA,Endogenous,1,1,74,15,13.10586416,1,1,55110
HAO1,HAO1,All Targets,RNA,Endogenous,1,1,22,5,3.997289108,1,1,54363
CUL5,CUL5,All Targets,RNA,Endogenous,1,1,68,14,13.03961611,1,1,8065
KRTAP22-1,KRTAP22-1,All Targets,RNA,Endogenous,1,1,22,4,4.011275701,1,1,337979
SKIV2L,SKIV2L,All Targets,RNA,Endogenous,1,1,52,9,7.854293156,1,1,6499
ERCC2,ERCC2,All Targets,RNA,Endogenous,1,1,47,11,9.454562486,1,1,2068
C11orf71,C11orf71,All Targets,RNA,Endogenous,1,1,44,7,5.524871788,1,1,54494
ZIM2,ZIM2,All Targets,RNA,Endogenous,1,1,20,6,5.097297427,1,1,23619
DOCK6,DOCK6,All Targets,RNA,Endogenous,1,1,30,6,4.995670091,1,1,57572
SWT1,SWT1,All Targets,RNA,Endogenous,1,1,24,7,5.305439157,1,1,54823
STAM2,STAM2,All Targets,RNA,Endogenous,1,1,51,12,10.25103195,1,1,10254
PRY,"PRY2,PRY",All Targets,RNA,Endogenous,1,1,40,10,8.012917217,1,1,9081
SLC4A11,SLC4A11,All Targets,RNA,Endogenous,1,1,38,10,7.468314062,1,1,83959
SLC39A10,SLC39A10,All Targets,RNA,Endogenous,1,1,42,11,8.657006712,1,1,57181
SLC39A6,SLC39A6,All Targets,RNA,Endogenous,1,1,58,13,11.37810068,1,1,25800
WDR54,WDR54,All Targets,RNA,Endogenous,1,1,62,10,8.377436144,1,1,84058
LNPK,LNPK,All Targets,RNA,Endogenous,1,1,52,11,9.686459232,1,1,80856
GRHL2,GRHL2,All Targets,RNA,Endogenous,1,1,68,14,11.12256779,1,1,79977
PCDH1,PCDH1,All Targets,RNA,Endogenous,1,1,72,8,8.001782567,1,1,5097
EBAG9,EBAG9,All Targets,RNA,Endogenous,1,1,49,12,10.19663315,1,1,9166
FAM50A,FAM50A,All Targets,RNA,Endogenous,1,1,73,13,11.32019711,1,1,9130
EBF1,EBF1,All Targets,RNA,Endogenous,1,1,68,21,16.73268388,1,1,1879
CCDC142,CCDC142,All Targets,RNA,Endogenous,1,1,49,9,7.987237011,1,1,84865
KRT79,KRT79,All Targets,RNA,Endogenous,1,1,32,7,6.745013852,1,1,338785
B3GALT5,B3GALT5,All Targets,RNA,Endogenous,1,1,66,10,9.33242864,1,1,10317
PLK5,PLK5,All Targets,RNA,Endogenous,1,1,40,6,5.993715534,1,1,126520
CCDC62,CCDC62,All Targets,RNA,Endogenous,1,1,26,7,5.189269809,1,1,84660
RNASEL,RNASEL,All Targets,RNA,Endogenous,1,1,55,8,8.939736218,1,1,6041
METTL26,METTL26,All Targets,RNA,Endogenous,1,1,53,11,9.335690249,1,1,84326
CCDC148,CCDC148,All Targets,RNA,Endogenous,1,1,29,6,5.64854938,1,1,130940
ALYREF,ALYREF,All Targets,RNA,Endogenous,1,1,119,29,23.98827783,1,1,10189
EQTN,EQTN,All Targets,RNA,Endogenous,1,1,24,6,4.947646553,1,1,54586
WDR38,WDR38,All Targets,RNA,Endogenous,1,1,31,7,6.784832139,1,1,401551
ZFAND2A,ZFAND2A,All Targets,RNA,Endogenous,1,1,30,9,7.540018283,1,1,90637
SLAMF9,SLAMF9,All Targets,RNA,Endogenous,1,1,29,6,5.752039748,1,1,89886
OPRPN,OPRPN,All Targets,RNA,Endogenous,1,1,22,6,5.340403063,1,1,58503
RNF227,RNF227,All Targets,RNA,Endogenous,1,1,30,8,6.378788473,1,1,284023
PPFIA2,PPFIA2,All Targets,RNA,Endogenous,1,1,26,6,4.948626905,1,1,8499
MAGT1,MAGT1,All Targets,RNA,Endogenous,1,1,111,18,14.24610856,1,1,84061
FUT4,FUT4,All Targets,RNA,Endogenous,1,1,125,14,12.91574298,1,1,2526
ZNF786,ZNF786,All Targets,RNA,Endogenous,1,1,28,6,5.574593575,1,1,136051
DLX3,DLX3,All Targets,RNA,Endogenous,1,1,20,4,3.956420744,1,1,1747
RCOR2,RCOR2,All Targets,RNA,Endogenous,1,1,25,5,4.533696468,1,1,283248
THEG,THEG,All Targets,RNA,Endogenous,1,1,12,3,2.56386315,1,1,51298
CD1E,CD1E,All Targets,RNA,Endogenous,1,1,53,9,7.913062969,1,1,913
MAN2A2,MAN2A2,All Targets,RNA,Endogenous,1,1,75,16,12.95005943,1,1,4122
PARP16,PARP16,All Targets,RNA,Endogenous,1,1,51,12,9.899868807,1,1,54956
GCK,GCK,All Targets,RNA,Endogenous,1,1,21,6,4.954597866,1,1,2645
CRACDL,CRACDL,All Targets,RNA,Endogenous,1,1,41,9,8.260982137,1,1,343990
SYNE3,SYNE3,All Targets,RNA,Endogenous,1,1,71,10,9.604284013,1,1,161176
PI4KB,PI4KB,All Targets,RNA,Endogenous,1,1,74,14,12.01372984,1,1,5298
TSNAXIP1,TSNAXIP1,All Targets,RNA,Endogenous,1,1,27,5,4.197818287,1,1,55815
SPTBN2,SPTBN2,All Targets,RNA,Endogenous,1,1,40,7,6.268160775,1,1,6712
RPS2,RPS2,All Targets,RNA,Endogenous,1,12,842,122,121.1155991,1,1,6187
DPY19L1,DPY19L1,All Targets,RNA,Endogenous,1,1,45,12,9.26172674,1,1,23333
DHCR7,DHCR7,All Targets,RNA,Endogenous,1,1,58,12,9.502857138,1,1,1717
THRAP3,THRAP3,All Targets,RNA,Endogenous,1,1,175,28,25.22641655,1,1,9967
TBX15,TBX15,All Targets,RNA,Endogenous,1,1,22,5,4.562912197,1,1,6913
SLC52A1,SLC52A1,All Targets,RNA,Endogenous,1,1,23,5,4.684985272,1,1,55065
SHOC1,SHOC1,All Targets,RNA,Endogenous,1,1,19,5,4.441585884,1,1,158401
NUP155,NUP155,All Targets,RNA,Endogenous,1,1,34,8,6.262309603,1,1,9631
MMS19,MMS19,All Targets,RNA,Endogenous,1,1,86,17,14.87333013,1,1,64210
ECHDC2,ECHDC2,All Targets,RNA,Endogenous,1,1,83,19,15.40378032,1,1,55268
PKD1L2,PKD1L2,All Targets,RNA,Endogenous,1,1,27,4,3.558380009,1,1,114780
PLEKHD1,PLEKHD1,All Targets,RNA,Endogenous,1,1,45,11,8.49296675,1,1,400224
COX20,COX20,All Targets,RNA,Endogenous,1,1,62,18,14.84339393,1,1,116228
CCT6B,CCT6B,All Targets,RNA,Endogenous,1,1,25,6,4.681670387,1,1,10693
CCDC61,CCDC61,All Targets,RNA,Endogenous,1,1,52,11,9.765412236,1,1,729440
MAP4,MAP4,All Targets,RNA,Endogenous,1,1,99,21,15.79997276,1,1,4134
SPR,"MGC34796,SPR",All Targets,RNA,Endogenous,1,1,38,9,8.162390698,1,1,6697
MARS1,MARS1,All Targets,RNA,Endogenous,1,2,71,11,10.61698449,1,1,4141
CDK5RAP1,CDK5RAP1,All Targets,RNA,Endogenous,1,1,36,11,8.840706006,1,1,51654
