Position,Sample Identifier,Buffer,Volume,Cell count,Approximate RNA concentration,Organism,Cell or Tissue Type
A1,54324848,TCE,20uL,2106,2 ng/ul,Human,CD4+CD45RO-
B1,54324848,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
C1,54324848,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
D1,54324848,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
E1,21187074,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
F1,21187074,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
G1,21187074,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
H1,21187074,TCE,20uL,3828,2 ng/ul,Human,CD8+CD45RO-
I1,20963578,TCE,20uL,1575,2 ng/ul,Human,CD4+CD45RO-
J1,20963578,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
K1,20963578,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
L1,20963578,TCE,20uL,2720,2 ng/ul,Human,CD8+CD45RO-
M1,11413170,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
N1,11413170,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
O1,11413170,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
P1,11413170,TCE,20uL,3882,2 ng/ul,Human,CD8+CD45RO-
A2,13485298,TCE,20uL,1883,2 ng/ul,Human,CD4+CD45RO-
B2,13485298,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
C2,13485298,TCE,20uL,3005,2 ng/ul,Human,CD8+CD45RO+
D2,13485298,TCE,20uL,2725,2 ng/ul,Human,CD8+CD45RO-
E2,00482428,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
F2,00482428,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
G2,00482428,TCE,20uL,2141,2 ng/ul,Human,CD8+CD45RO+
H2,00482428,TCE,20uL,1436,2 ng/ul,Human,CD8+CD45RO-
I2,94144536,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
J2,94144536,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
K2,94144536,TCE,20uL,2424,2 ng/ul,Human,CD8+CD45RO+
L2,94144536,TCE,20uL,1768,2 ng/ul,Human,CD8+CD45RO-
M2,16621574,TCE,20uL,2663,2 ng/ul,Human,CD4+CD45RO-
N2,16621574,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
O2,16621574,TCE,20uL,1000,2 ng/ul,Human,CD8+CD45RO+
P2,16621574,TCE,20uL,1136,2 ng/ul,Human,CD8+CD45RO-
A3,60922329,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
B3,60922329,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
C3,60922329,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
D3,60922329,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
E3,51791453,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
F3,51791453,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
G3,51791453,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
H3,51791453,TCE,20uL,2848,2 ng/ul,Human,CD8+CD45RO-
I3,74284255,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
J3,74284255,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
K3,74284255,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
L3,74284255,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
M3,77180612,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
N3,77180612,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
O3,77180612,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
P3,77180612,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
A4,08682642,TCE,20uL,3741,2 ng/ul,Human,CD4+CD45RO-
B4,08682642,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
C4,08682642,TCE,20uL,3528,2 ng/ul,Human,CD8+CD45RO+
D4,08682642,TCE,20uL,3569,2 ng/ul,Human,CD8+CD45RO-
E4,20954847,TCE,20uL,2074,2 ng/ul,Human,CD4+CD45RO-
F4,20954847,TCE,20uL,4243,2 ng/ul,Human,CD4+CD45RO+
G4,20954847,TCE,20uL,1948,2 ng/ul,Human,CD8+CD45RO+
H4,20954847,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
I4,20976799,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
J4,20976799,TCE,20uL,1561,2 ng/ul,Human,CD4+CD45RO+
K4,20976799,TCE,20uL,1009,2 ng/ul,Human,CD8+CD45RO+
L4,20976799,TCE,20uL,2099,2 ng/ul,Human,CD8+CD45RO-
M4,69924281,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
N4,69924281,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
O4,69924281,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
P4,69924281,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
A5,48748345,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
B5,48748345,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
C5,48748345,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
D5,48748345,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
E5,88488240,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
F5,88488240,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
G5,88488240,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
H5,88488240,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
I5,20300213,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
J5,20300213,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
K5,20300213,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
L5,20300213,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
M5,83984043,TCE,20uL,1798,2 ng/ul,Human,CD4+CD45RO-
N5,83984043,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
O5,83984043,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
P5,83984043,TCE,20uL,4411,2 ng/ul,Human,CD8+CD45RO-
A6,10488101,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
B6,10488101,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
C6,10488101,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
D6,10488101,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
E6,34287534,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
F6,34287534,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
G6,34287534,TCE,20uL,3293,2 ng/ul,Human,CD8+CD45RO+
H6,34287534,TCE,20uL,2537,2 ng/ul,Human,CD8+CD45RO-
I6,01797756,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
J6,01797756,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
K6,01797756,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
L6,01797756,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
M6,45635549,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO-
N6,45635549,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
O6,45635549,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO+
P6,45635549,TCE,20uL,5000,2 ng/ul,Human,CD8+CD45RO-
A7,94549523,TCE,20uL,3150,2 ng/ul,Human,CD4+CD45RO-
B7,94549523,TCE,20uL,5000,2 ng/ul,Human,CD4+CD45RO+
C7,94549523,TCE,20uL,3125,2 ng/ul,Human,CD8+CD45RO+
D7,94549523,TCE,20uL,2736,2 ng/ul,Human,CD8+CD45RO-
