Reference,Year,Continent,Country,Economic status,Region,Conservation priority of the area,Type of road (paved/unpaved),Type of structure monitored,Focal species,Monitoring start date,Monitoring end date,Period of monitoring,Main research findings,Recommendations,Conclusions,Camera Make and Model,Fencing design,Height (m),Length (m),Interval delay (S),Camera Multishot,Camera Photo / Video,Camera Height Placed (m),Camera Mounting angle,Number of cameras per underpass,Structure width (m),Structure height (m),Structure length (m),Notes,,,,,,,,,
Abra et al. 2020,2020,South America,Brazil,Upper-middle income,Cerrado,Agricultural landscape/Wetland/Farmland,Paved,Non-wildlife underpass crossing,Mammal,01-Sep-17,01-May-18,9 months,"This study shows that unfenced underpasses are suitable forcrossings by large and medium-sized mammals,","Recommends retrofitting existing under-passes, which were originally built for other purposes than wildlifecrossings","Even though our findings did not detect differences in the num-ber of individuals using drainage culverts or cattle boxes, speciescomposition differed among the structures","StealthCam STC-G34, motion sensor",No Fencing,N/A,N/A,5,9,Photo & Video,0.5,N/A,2,N/A,N/A,N/A,N/A,,,,,,,,,
Alves et al. 2021,2021,South America,Brazil,Upper-middle income,São Paulo State,Protected Area,Paved,Non-wildlife underpass crossing,Multi-taxa,01-Mar-18,01-Feb-19,12 months,"Thes study has detected an abundance of 105 individuals in the underpasses during the study period, 8.57% of which were reptiles, whereas 15.24% were birds and 76.19% mammals. There were no records of amphibians.",The study highlight the need to implement dry causeways inside flooded passages,These results highlight the ecological importance of having underpasses on roads crossing Permanent Conservation Areas,Bushnell Model ZT820,No Fencing,N/A,N/A,N/A,N/A,Video,0.4,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Andis et al. 2017,2017,North America,"Montana, USA",High-income,Flathead Valley,Ecoregion,Paved,Wildlife underpass crossing,Mammal,01-Apr-15,01-Nov-18,7 months,"A total of 2,798 unique large mammal movements represented by twenty-five animal species were observed",More robust studies are needed to monitor the usefulness of crossing stuctures,Structures exhibited significantly positive performance with all species and species groups moving through the crossing structures more often than expected based on movement rates in the surrounding habitat,Motion-sensing trail cameras,Fenced,2.4,10,N/A,10,Photo,N/A,N/A,2,7.32,5.55,26.5,N/A,,,,,,,,,
Asari et al. 2020,2020,Asia,Japan,High-income,Hokkaido Expressway,Forest/Woodland,Paved,non-wildlife underpass & eco-bridge ,Mammal,01-Sep-15,01-Sep-16,12 months,"During 2015 and 2016, nine mammal species were detected In three overpasses",We propose the construction of small overpasses without plants to conserve habitat reconnection of middlesized to large mammals.,The study showed that overpasses were equally functional for humans and wildlife in large and middle-sized mammals.,Digital infrared cameras,N/A,N/A,N/A,N/A,N/A,Photo,4.5,N/A,2,6.0-8.0,1.1-1.2,44.6-58.8,N/A,,,,,,,,,
Balbuena et al. 2019,2019,South America,Peru,Upper-middle income,La Convención,National/Provincial/Nature Reserve,Unpaved,Canopy bridge,Arboreal,01-Aug-17,01-Nov-18,14 months,"found a broad difference in use rates between crossing structures, with some crossed multiple times a night and others crossed closer to once a week", a long-term solution is required to address the issue of road impact on wildlife,Canopy bridges may be important to mitigate the impact of roads and power lines on wildlife,Reconyx PC800 Hyperfire cameras,N/A,N/A,N/A,0,3,Photo,N/A,N/A,3,N/A,19.5-22.5,N/A,N/A,,,,,,,,,
Barrueto et al. 2014,2014,North America,Canada,High-income,Banff National Park,Protected Area,Paved,Wildlife underpass & Eco-bridge,Mammal,29-Jun-07,04-Jul-12,5 Years,"The study has recorded a total of 33,732 and 6577 events for our eight focal species, respectively.",Recommend that rigorous long-term monitoring of WC and anthropogenic disturbances associated with them will provide sound information for ensuring the efficacy of WC,"Wildlife adjust their behavior in response to variation in human activity, and that this response depends on the baseline levels of human activity in the area.
",N/A,Fenced,2.4,N/A,N/A,N/A,Photo,N/A,N/A,N/A,>50,N/A,N/A,N/A,,,,,,,,,
Baxter-Gilbert et al. 2015,2015,North America,Canada,High-income,Ontario,Forest/Woodland,Paved,Wildlife underpass crossing,Reptile,01-May-12,31-Aug-13,6 months,"The study showed that although ecopassages were used by reptiles, the number of crossings through ecopassages was lower than road-surface crossings.","Recomends that designed mitigation measures should be aligned with the biology and behavior of the target species in mind, to implement mitigation designs in a rigorous fashion, and quantitatively evaluate road mitigation to ensure allow for adaptive management and optimization of these increasingly important conservation tools.","The study suggest that effectiveness of ecopassages may be compromised when alternative crossing options are available (e.g., through holes in exclusion structures).","TrophyMAX, Bushnell",Fenced,0.8,N/A,N/A,N/A,Photo,N/A,N/A,N/A,3.4,2.4,24.1,"radio telemetry, wildlife cameras, and an automated PIT-tag reading system",,,,,,,,,
Bellis et al. 2013,2013,North America,"Vermont, USA",High-income,Southern Vermont,Forest/Woodland,Paved,Eco-bridge,Multi-taxa,11-Dec-05,25-Feb-07,13 months,Revealed that camera traps were critical for recording the use of structures by bobcats and several other species,"Recommend the use of a combination of approaches to target multiple taxa such as camera traps in combination with track beds to accommodate both large, medium and small sized animals",camera traps have provided important information on animal crossings through the monitored structures in areas,"TrailMaster TM1050 Active Infrared Trail Monitor, Goodson and Associates, Inc., Lenexa, KS",Fenced,2.5,61,N/A,10,Photo,1,N/A,1,N/A,N/A,N/A,N/A,,,,,,,,,
Boyle et al. 2021,2021,North America,Canada,High-income,Presqu'ile Provincial Park,National/Provincial/Nature Reserve,Paved,Wildlife underpass crossing,Herpetofauna,01-Sep-16,01-Nov-18,2 years,"Cameras recorded 54 turtles, 72 snakes, 615 frogs, and 271 salamanders using tunnels",Proper and thorough planning is critical for effective mitigation of negative road effects,The exclusion fencing installed in Presqu'ile PP to mitigate herpetofauna road mortality significantly reduced the number of turtles and amphibians on the road compared to our control site,"Kansas, USA; Bushnell TrophyMAX",No Fencing,N/A,N/A,N/A,N/A,Photo,N/A,N/A,2,0.5,0.32,10,N/A,,,,,,,,,
Chakraborty et al. 2021,2021,Asia,India,Lower-middle income,Assam,Protected Area,Paved,Wildlife underpass crossing,Multi-taxa,14-Jan-11,31-Dec-16,5 Years,"Revealed that a total of 3342 images comprising 39 species of identifiable animals species (26 mammals and 13 avian) were recorded in the camera traps after 10,895 trap nights.",More robust study is recommended in the forests of Karbi Anglong which form the critical connecting patches of habitat for wildlife dispersing from KNP,Results obtained from the study can be used to prepare a conservation action strategy to secure the corridor for safe passage of wildlife.,Winconsins model 1149 and Cuddeback Attack IR model 1156,No Fencing,N/A,N/A,N/A,N/A,Photo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
