sampleMiseq;Location;Year;famille;plantes.genre;H2 Group
Bh168-4;France;2011;Asteraceae;Helichrysum ;A
Bh279-1;USA;2011;Asteraceae;Conyza;A
Bh303-1;USA;2011;Asteraceae;Conyza;A
Bh331-1;USA;2011;Asteraceae;Senecio;A
Bh344-1;USA;2011;Asteraceae;Achillea;A
Bh345-2;USA;2011;Asteraceae;Achillea;A
Bh346-1;USA;2011;Asteraceae;Achillea;A
Bh347-2;USA;2011;Asteraceae;Conyza;A
Bh357-3;USA;2011;Asteraceae;Conyza;A
Bh359-2;USA;2011;Asteraceae;Conyza;A
Bh366-3;USA;2011;Asteraceae;Conyza;A
Bh367-3;USA;2011;Asteraceae;Anthemis;A
Bh394-2;USA;2011;Asteraceae;Senecio;A
Bh445-5;France;2011;Asteraceae;Conyza;A
Bh450-3;France;2011;Asteraceae;Conyza;A
Bh346-3;USA;2011;Asteraceae;Achillea;A
Bh318_1;USA;2011;Asteraceae;Achillea;A
Bh445_3;France;2011;Asteraceae;Erigeron;A
2408-8;France;2008;Boraginaceae;Myosotis;B
2433-9;France;2008;Asteraceae;Senecio;B
2683-9;France;2009;Asteraceae;Senecio;B
Bh152-10;France;2010;Asteraceae;Helichrysum ;B
Bh158-3;France;2010;Asteraceae;Helichrysum ;B
Bh162-2;France;2010;Asteraceae;Matricaria;B
Bh445-2;France;2011;Asteraceae;Conyza;B
Bh576-4;France;2013;Echium;creticum;B
Bh581-3-BIS;France;2013;Asteraceae;Senecio;B
Bh584-2;France;2013;Asteraceae;Calendula;B
Bh589-2;France;2013;Asteraceae;Echium;B
Bh712;Spain;2015;Asteraceae;Matricaria;B
Bh725;Spain;2015;Asteraceae;Senecio;B
Bh97-1;France;2010;Asteraceae;Senecio;B
Bh98-1;France;2010;Asteraceae;Senecio;B
Bh99-4;France;2010;Boraginaceae;Symphytum;B
Bh163.3.BIS;France;2010;Asteraceae;Helichrysum ;B
Bh445.4.BIS;France;2011;Asteraceae;Erigeron;B
Bh570-3;France;2013;Asteraceae;Senecio;B
Bh202-3;USA;2011;Asteraceae;Conyza;C
Bh207-1;USA;2011;Asteraceae;Conyza;C
Bh215-3;USA;2011;Asteraceae;Conyza;C
Bh222-2;USA;2011;Asteraceae;Eriophyllum;C
Bh224-3;USA;2011;Asteraceae;Anaphalis;C
Bh228-3;USA;2011;Asteraceae;Conyza;C
Bh231-3;USA;2011;Asteraceae;Conyza;C
Bh237-3;USA;2011;Asteraceae;Artemisia;C
Bh240-3;USA;2011;Asteraceae;Achillea;C
Bh242-1;USA;2011;Asteraceae;Achillea;C
Bh244-3;USA;2011;Asteraceae;Achillea;C
Bh248-1;USA;2011;Asteraceae;Anaphalis;C
Bh257-2;USA;2011;Asteraceae;Achillea;C
Bh258-3;USA;2011;Asteraceae;Conyza;C
Bh260-2;USA;2011;Asteraceae;Anaphalis;C
Bh262-3;USA;2011;Asteraceae;Conyza;C
Bh263-2;USA;2011;Boraginaceae;Myosotis;C
Bh267-1;USA;2011;Asteraceae;Achillea;C
Bh281-1;USA;2011;Asteraceae;Conyza;C
Bh288-3;USA;2011;Asteraceae;Conyza;C
Bh299-3;USA;2011;Asteraceae;Conyza;C
Bh300-3;USA;2011;Asteraceae;Conyza;C
Bh313-1;USA;2011;Asteraceae;Conyza;C
Bh314-2;USA;2011;Asteraceae;Senecio;C
Bh319-1;USA;2011;Asteraceae;Achillea;C
Bh355-3;USA;2011;Asteraceae;Conyza;C
Bh364-2;USA;2011;Asteraceae;Conyza;C
Bh597-3;France;2013;Asteraceae;Senecio;C
Bh351-1;USA;2011;Asteraceae;Conyza;C
Bh163-2;France;2010;Asteraceae;Helichrysum;C
Bh562-7;Korea;2013;Asteraceae;Senecio;C
Bh439-3;USA;2011;Asteraceae;Erechtites;D
Bh602-1;USA;2013;Asteraceae;Senecio;D
Bh602-5;USA;2013;Asteraceae;Senecio;D
Bh602-6;USA;2014;Asteraceae;Senecio;D
Bh225-3;USA;2011;Asteraceae;Conyza;F
Bh246-3;USA;2011;Asteraceae;Conyza;F
Bh247-3;USA;2011;Asteraceae;Anaphalis;F
Bh666-2;Cyprus;2014;Asteraceae;Senecio;F
Bh668-2;Cyprus;2014;Asteraceae;Calendula;F
Bh682-1;Cyprus;2014;Asteraceae;Calendula;F
Bh683-2;Cyprus;2014;Asteraceae;Senecio;F
Bh683-3;Cyprus;2014;Asteraceae;Senecio;F
Bh714;Spain;2015;Asteraceae;Helichrysum ;F
Bh722;Spain;2015;Asteraceae;Calendula;F
Bh726-bis;Spain;2015;Asteraceae;Asteriscus;F
Bh656.3.BIS;Cyprus;2014;Asteraceae;Crysanthemum;F
Bh661.3.bis;Cyprus;2014;Asteraceae;Erigeri;F
Bh673.2.bis;Cyprus;2014;Boraginaceae;Cynoglossum;F
Bh212-1;USA;2011;Asteraceae;sp;G
Bh253-2;USA;2011;Asteraceae;Conyza;G
Bh254-2;USA;2011;Asteraceae;Anaphalis;G
Bh270-3;USA;2011;Asteraceae;Anaphalis;G
Bh278-2;USA;2011;Asteraceae;Conyza;G
Bh294-3;USA;2011;Asteraceae;Euryops;G
Bh324-1;USA;2011;Asteraceae;Achillea;G
Bh325-5;USA;2011;Asteraceae;Senecio;G
Bh339-2;USA;2011;Asteraceae;Anthemis;G
Bh342-1;USA;2011;Asteraceae;Achillea;G
Bh348-3;USA;2011;Asteraceae;Conyza;G
Bh359-3;USA;2011;Asteraceae;Conyza;G
Bh388-1;USA;2011;Asteraceae;Achillea;G
Bh596-3;France;2013;Asteraceae;Senecio;G
