"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Minimal-Movement","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Minimal-Movement","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Minimal-Movement","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Minimal-Movement","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Minimal-Movement","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
