"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Resting","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Antennating Nestmate","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
