Column1;name;cp;ID;probe;spike;matrix;state;plate;replicate
649;ALA1;25.11;CY5_all_limmat_adsorbed_1_1;CY5;all;limmat;adsorbed;1;1
650;ALA1;24.97;CY5_all_limmat_adsorbed_1_1;CY5;all;limmat;adsorbed;1;1
651;ALA1;25.05;CY5_all_limmat_adsorbed_1_1;CY5;all;limmat;adsorbed;1;1
652;ALA2;25.49;CY5_all_limmat_adsorbed_1_2;CY5;all;limmat;adsorbed;1;2
653;ALA2;25.55;CY5_all_limmat_adsorbed_1_2;CY5;all;limmat;adsorbed;1;2
654;ALA2;25.56;CY5_all_limmat_adsorbed_1_2;CY5;all;limmat;adsorbed;1;2
655;ALA3;24.79;CY5_all_limmat_adsorbed_1_3;CY5;all;limmat;adsorbed;1;3
656;ALA3;24.74;CY5_all_limmat_adsorbed_1_3;CY5;all;limmat;adsorbed;1;3
657;ALA3;24.77;CY5_all_limmat_adsorbed_1_3;CY5;all;limmat;adsorbed;1;3
1423;LA3;26.9;CY5_all_limmat_free_2_1;CY5;all;limmat;free;2;1
1424;LA3;26.87;CY5_all_limmat_free_2_1;CY5;all;limmat;free;2;1
1425;LA3;27.32;CY5_all_limmat_free_2_1;CY5;all;limmat;free;2;1
1417;LA1;24.93;CY5_all_limmat_free_2_2;CY5;all;limmat;free;2;2
1418;LA1;25.17;CY5_all_limmat_free_2_2;CY5;all;limmat;free;2;2
1419;LA1;25.28;CY5_all_limmat_free_2_2;CY5;all;limmat;free;2;2
1420;LA2;25.8;CY5_all_limmat_free_2_3;CY5;all;limmat;free;2;3
1421;LA2;25.8;CY5_all_limmat_free_2_3;CY5;all;limmat;free;2;3
1422;LA2;26.1;CY5_all_limmat_free_2_3;CY5;all;limmat;free;2;3
838;LA1;23.9;CY5_all_limmat_membrane_1_1;CY5;all;limmat;membrane;1;1
839;LA1;23.91;CY5_all_limmat_membrane_1_1;CY5;all;limmat;membrane;1;1
840;LA1;23.98;CY5_all_limmat_membrane_1_1;CY5;all;limmat;membrane;1;1
841;LA2;24.6;CY5_all_limmat_membrane_1_2;CY5;all;limmat;membrane;1;2
842;LA2;24.72;CY5_all_limmat_membrane_1_2;CY5;all;limmat;membrane;1;2
843;LA2;24.82;CY5_all_limmat_membrane_1_2;CY5;all;limmat;membrane;1;2
844;LA3;23.62;CY5_all_limmat_membrane_1_3;CY5;all;limmat;membrane;1;3
845;LA3;23.69;CY5_all_limmat_membrane_1_3;CY5;all;limmat;membrane;1;3
846;LA3;23.72;CY5_all_limmat_membrane_1_3;CY5;all;limmat;membrane;1;3
694;ARA1;36.12;CY5_all_sihl_adsorbed_1_1;CY5;all;sihl;adsorbed;1;1
695;ARA1;35.9;CY5_all_sihl_adsorbed_1_1;CY5;all;sihl;adsorbed;1;1
696;ARA1;35.88;CY5_all_sihl_adsorbed_1_1;CY5;all;sihl;adsorbed;1;1
697;ARA2;24.86;CY5_all_sihl_adsorbed_1_2;CY5;all;sihl;adsorbed;1;2
698;ARA2;24.6;CY5_all_sihl_adsorbed_1_2;CY5;all;sihl;adsorbed;1;2
699;ARA2;24.77;CY5_all_sihl_adsorbed_1_2;CY5;all;sihl;adsorbed;1;2
700;ARA3;24.54;CY5_all_sihl_adsorbed_1_3;CY5;all;sihl;adsorbed;1;3
701;ARA3;24.3;CY5_all_sihl_adsorbed_1_3;CY5;all;sihl;adsorbed;1;3
702;ARA3;24.4;CY5_all_sihl_adsorbed_1_3;CY5;all;sihl;adsorbed;1;3
1468;RA1;25.77;CY5_all_sihl_free_2_1;CY5;all;sihl;free;2;1
1469;RA1;25.84;CY5_all_sihl_free_2_1;CY5;all;sihl;free;2;1
1470;RA1;25.83;CY5_all_sihl_free_2_1;CY5;all;sihl;free;2;1
1471;RA2;25.35;CY5_all_sihl_free_2_2;CY5;all;sihl;free;2;2
1472;RA2;25.62;CY5_all_sihl_free_2_2;CY5;all;sihl;free;2;2
1473;RA2;25.71;CY5_all_sihl_free_2_2;CY5;all;sihl;free;2;2
1474;RA3;26.59;CY5_all_sihl_free_2_3;CY5;all;sihl;free;2;3
1475;RA3;26.67;CY5_all_sihl_free_2_3;CY5;all;sihl;free;2;3
1476;RA3;26.63;CY5_all_sihl_free_2_3;CY5;all;sihl;free;2;3
883;RA1;23.59;CY5_all_sihl_membrane_1_1;CY5;all;sihl;membrane;1;1
884;RA1;23.63;CY5_all_sihl_membrane_1_1;CY5;all;sihl;membrane;1;1
885;RA1;23.64;CY5_all_sihl_membrane_1_1;CY5;all;sihl;membrane;1;1
886;RA2;23.79;CY5_all_sihl_membrane_1_2;CY5;all;sihl;membrane;1;2
887;RA2;23.77;CY5_all_sihl_membrane_1_2;CY5;all;sihl;membrane;1;2
888;RA2;23.79;CY5_all_sihl_membrane_1_2;CY5;all;sihl;membrane;1;2
889;RA3;24.25;CY5_all_sihl_membrane_1_3;CY5;all;sihl;membrane;1;3
890;RA3;24.21;CY5_all_sihl_membrane_1_3;CY5;all;sihl;membrane;1;3
891;RA3;24.31;CY5_all_sihl_membrane_1_3;CY5;all;sihl;membrane;1;3
739;ATA1;20.37;CY5_all_tap_adsorbed_1_1;CY5;all;tap;adsorbed;1;1
740;ATA1;20.36;CY5_all_tap_adsorbed_1_1;CY5;all;tap;adsorbed;1;1
741;ATA1;20.33;CY5_all_tap_adsorbed_1_1;CY5;all;tap;adsorbed;1;1
742;ATA2;20.42;CY5_all_tap_adsorbed_1_2;CY5;all;tap;adsorbed;1;2
743;ATA2;20.44;CY5_all_tap_adsorbed_1_2;CY5;all;tap;adsorbed;1;2
744;ATA2;20.56;CY5_all_tap_adsorbed_1_2;CY5;all;tap;adsorbed;1;2
745;ATA3;20.44;CY5_all_tap_adsorbed_1_3;CY5;all;tap;adsorbed;1;3
