Sample ID,Lake,Collection Date,Point,Replicate,Preservation,Extraction Method,Species,Habitat,Detection 
LOWX003,Lake of the Woods,8/17/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX004,Lake of the Woods,8/17/2021,1,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX008,Lake of the Woods,8/17/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX009,Lake of the Woods,8/17/2021,1,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX013,Lake of the Woods,8/17/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX014,Lake of the Woods,8/17/2021,1,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX025,Lake of the Woods,8/17/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX026,Lake of the Woods,8/17/2021,3,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX030,Lake of the Woods,8/17/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX031,Lake of the Woods,8/17/2021,3,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX035,Lake of the Woods,8/17/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX036,Lake of the Woods,8/17/2021,3,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX045,Lake of the Woods,8/18/2021,5,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX046,Lake of the Woods,8/18/2021,5,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX050,Lake of the Woods,8/18/2021,5,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX051,Lake of the Woods,8/18/2021,5,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX055,Lake of the Woods,8/18/2021,5,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
LOWX056,Lake of the Woods,8/18/2021,5,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
LOWX070,Lake of the Woods,8/17/2021,7,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
LOWX071,Lake of the Woods,8/17/2021,7,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
LOWX075,Lake of the Woods,8/17/2021,7,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
LOWX076,Lake of the Woods,8/17/2021,7,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
LOWX080,Lake of the Woods,8/17/2021,7,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
LOWX081,Lake of the Woods,8/17/2021,7,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
LOWX102,Lake of the Woods,8/17/2021,10,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,1
LOWX103,Lake of the Woods,8/17/2021,10,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
LOWX107,Lake of the Woods,8/17/2021,10,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
LOWX108,Lake of the Woods,8/17/2021,10,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
LOWX112,Lake of the Woods,8/17/2021,10,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
LOWX113,Lake of the Woods,8/17/2021,10,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SHGX003,Shagawa Lake,8/2/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,1
SHGX004,Shagawa Lake,8/2/2021,1,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SHGX008,Shagawa Lake,8/2/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SHGX009,Shagawa Lake,8/2/2021,1,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
SHGX013,Shagawa Lake,8/2/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SHGX014,Shagawa Lake,8/2/2021,1,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
SHGX025,Shagawa Lake,8/2/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,1
SHGX026,Shagawa Lake,8/2/2021,3,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SHGX030,Shagawa Lake,8/2/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,1
SHGX031,Shagawa Lake,8/2/2021,3,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
SHGX035,Shagawa Lake,8/2/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,1
SHGX036,Shagawa Lake,8/2/2021,3,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SHGX045,Shagawa Lake,8/2/2021,5,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,1
SHGX046,Shagawa Lake,8/2/2021,5,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SHGX050,Shagawa Lake,8/2/2021,5,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SHGX051,Shagawa Lake,8/2/2021,5,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SHGX055,Shagawa Lake,8/2/2021,5,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SHGX056,Shagawa Lake,8/2/2021,5,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SHGX070,Shagawa Lake,8/3/2021,7,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SHGX071,Shagawa Lake,8/3/2021,7,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SHGX075,Shagawa Lake,8/3/2021,7,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SHGX076,Shagawa Lake,8/3/2021,7,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SHGX080,Shagawa Lake,8/3/2021,7,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SHGX081,Shagawa Lake,8/3/2021,7,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SHGX102,Shagawa Lake,8/3/2021,10,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SHGX103,Shagawa Lake,8/3/2021,10,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SHGX107,Shagawa Lake,8/3/2021,10,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SHGX108,Shagawa Lake,8/3/2021,10,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SHGX112,Shagawa Lake,8/3/2021,10,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SHGX113,Shagawa Lake,8/3/2021,10,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SLEX003,St. Louis River Estuary,8/24/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX004,St. Louis River Estuary,8/24/2021,1,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
SLEX008,St. Louis River Estuary,8/24/2021,1,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,1
SLEX009,St. Louis River Estuary,8/24/2021,1,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SLEX013,St. Louis River Estuary,8/24/2021,1,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX014,St. Louis River Estuary,8/24/2021,1,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SLEX025,St. Louis River Estuary,8/25/2021,3,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX026,St. Louis River Estuary,8/25/2021,3,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SLEX030,St. Louis River Estuary,8/25/2021,3,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX031,St. Louis River Estuary,8/25/2021,3,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SLEX035,St. Louis River Estuary,8/25/2021,3,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX036,St. Louis River Estuary,8/25/2021,3,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SLEX045,St. Louis River Estuary,8/24/2021,5,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX046,St. Louis River Estuary,8/24/2021,5,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SLEX050,St. Louis River Estuary,8/24/2021,5,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX051,St. Louis River Estuary,8/24/2021,5,2,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,1
SLEX055,St. Louis River Estuary,8/24/2021,5,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
SLEX056,St. Louis River Estuary,8/24/2021,5,3,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
SLEX070,St. Louis River Estuary,8/25/2021,7,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SLEX071,St. Louis River Estuary,8/25/2021,7,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SLEX075,St. Louis River Estuary,8/25/2021,7,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SLEX076,St. Louis River Estuary,8/25/2021,7,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SLEX080,St. Louis River Estuary,8/25/2021,7,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SLEX081,St. Louis River Estuary,8/25/2021,7,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SLEX102,St. Louis River Estuary,8/25/2021,10,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SLEX103,St. Louis River Estuary,8/25/2021,10,1,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SLEX107,St. Louis River Estuary,8/25/2021,10,2,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SLEX108,St. Louis River Estuary,8/25/2021,10,2,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
SLEX112,St. Louis River Estuary,8/25/2021,10,3,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Offshore,0
SLEX113,St. Louis River Estuary,8/25/2021,10,3,CTAB,phenol-chloroform-isoamyl,rc,Offshore,0
VERX003,Lake Vermilion,7/26/2021,1,1,ETOH,Qiagen DNeasy Powersoil Pro Kit,rc,Nearshore,0
VERX004,Lake Vermilion,7/26/2021,1,1,CTAB,phenol-chloroform-isoamyl,rc,Nearshore,0
