Species,NDVI
Aethopyga bolton ,0.1486
Aethopyga christinae ,0.1438
Aethopyga flagrans ,0.164
Aethopyga gouldiae ,0.1412
Aethopyga ignicauda ,0.1316
Aethopyga linaraborae ,0.146
Aethopyga nipalensis ,0.1389
Aethopyga primigenia ,0.1502
Aethopyga pulcherrima ,0.168
Aethopyga saturata ,0.1487
Aethopyga shelleyi ,0.1719
Aethopyga siparaja ,0.1475
Aethopyga temminckii ,0.1603
Anabathmis newtonii ,0.1071
Anabathmis reichenbachii ,0.1236
Anthreptes anchietae ,0.1386
Anthreptes aurantius ,0.1384
Anthreptes gabonicus ,0.1174
Anthreptes griseigularis ,0.1673
Anthreptes longuemarei ,0.1325
Anthreptes malacensis ,0.1451
Anthreptes neglectus ,0.1645
Anthreptes orientalis ,0.1385
Anthreptes reichenowi ,0.1576
Anthreptes seimundi ,0.1526
Arachnothera affinis ,0.1639
Arachnothera chrysogenys ,0.1707
Arachnothera clarae ,0.1603
Arachnothera flavigaster ,0.1679
Arachnothera longirostra ,0.1565
Arachnothera modesta ,0.1715
Arachnothera robusta ,0.1672
Chalcomitra adelberti ,0.1335
Chalcomitra amethystina ,0.1211
Chalcomitra balfouri ,0.0577
Chalcomitra fuliginosa ,0.0937
Chalcomitra hunteri ,0.0826
Chalcomitra rubescens ,0.1615
Chalcomitra senegalensis ,0.1172
Chalcoparia singalensis ,0.1589
Cinnyris afer ,0.1273
Cinnyris asiaticus ,0.1098
Cinnyris batesi ,0.1372
Cinnyris bifasciatus ,0.1296
Cinnyris bouvieri ,0.1493
Cinnyris chalcomelas ,0.1055
Cinnyris chalybeus ,0.1054
Cinnyris chloropygius ,0.1425
Cinnyris coccinigastrus-1 ,0.1161
Cinnyris comorensis ,0.1722
Cinnyris congensis ,0.1172
Cinnyris coquerellii ,0.1605
Cinnyris cupreus ,0.1302
Cinnyris erythrocercus ,0.134
Cinnyris fuscus ,0.0467
Cinnyris gertrudis ,0.1338
Cinnyris habessinicus ,0.062
Cinnyris humbloti ,0.1657
Cinnyris johannae ,0.1329
Cinnyris jugularis-1 ,0.1438
Cinnyris lotenius ,0.1414
Cinnyris loveridgei ,0.1499
Cinnyris mariquensis ,0.0968
Cinnyris mediocris ,0.1446
Cinnyris minullus ,0.1422
Cinnyris moreaui ,0.161
Cinnyris nectarinioides ,0.094
Cinnyris osea ,0.0641
Cinnyris pulchellus ,0.0938
Cinnyris regius ,0.1588
Cinnyris reichenowi ,0.1556
Cinnyris rockefelleri ,0.1483
Cinnyris shelleyi ,0.1202
Cinnyris solaris ,0.1556
Cinnyris stuhlmanni ,0.1455
Cinnyris superbus ,0.1413
Cinnyris talatala ,0.1055
Cinnyris tsavoensis ,0.0905
Cinnyris ursulae ,0.0982
Cinnyris venustus ,0.1227
Cyanomitra alinae ,0.1627
Cyanomitra bannermani ,0.1471
Cyanomitra cyanolaema ,0.1485
Cyanomitra olivacea ,0.1486
Cyanomitra oritis ,0.1127
Cyanomitra veroxii ,0.1412
Cyanomitra verticalis ,0.1448
Deleornis axillaris ,0.1784
Deleornis fraseri ,0.1375
Drepanorhynchus reichenowi ,0.1385
Hedydipna collaris ,0.1365
Hypogramma hypogrammicum ,0.1703
Leptocoma aspasia ,0.1755
Leptocoma brasiliana ,0.1557
Leptocoma calcostetha ,0.1496
Leptocoma sperata ,0.1659
Leptocoma zeylonica ,0.1261
Leptocoma_juliae ,0.1673
Nectarinia bocagii ,0.1211
Nectarinia famosa ,0.0982
Nectarinia johnstoni ,0.1058
Nectarinia kilimensis ,0.14
Nectarinia purpureiventris ,0.1582
Nectarinia tacazze ,0.1258
