invasive growth;non_inv;non_inv;inv;inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;inv;inv;inv;inv;inv;non_inv;inv;inv
saple code;10_14;1_13;1_14;14_12;15_13;16_14;24_14;26_10;35_11;37_10;37_12;38_12;44_14;46_12;50_12;51_10;5_13;55_14;80_11;9_13
hsa-miR-29b-2-5p z prekursora hsa-mir-29b-2;359,894073400091;299,983778161751;319,092051100177;529,500450860923;415,191840974496;322,854798547504;380,979567288355;293,988660842961;359,704623225641;405,722329737602;363,757787290925;552,937834136152;323,95555451762;356,983442662882;382,380950994051;532,57574305481;414,369199968231;392,93097322731;443,264574671912;419,174688935006
hsa-miR-29a-3p z prekursora hsa-mir-29a;22206,4052283239;17753,2568473557;15792,8709674649;9507,53735083079;12741,5502886894;21931,1114217183;15741,3262523536;19016,3386276129;17985,231161282;10345,0014844859;13790,1831499187;20366,5435573483;22200,9014883237;18721,0355411861;17250,9092891232;20083,5523105385;19110,6439367899;12749,0171178212;15088,6517797649;19432,3058625153
hsa-miR-423-3p z prekursora hsa-mir-423;1519,55275435594;1622,80381198345;1494,92440378439;1436,41079754825;945,753712084641;1374,94510522794;1272,84648874372;1885,65739949182;1523,12426397107;1632,06855717977;1515,23933464633;2650,70637153866;1797,38498449469;1176,86849229522;1360,21657567462;1311,77036712648;1827,51516764512;1403,13526588266;1447,81175542734;1799,85250531931
hsa-miR-125a-3p z prekursora hsa-mir-125a;41,164354800664;25,2998367124368;29,140826584491;52,5745128514392;33,3135345376496;38,7891227730282;26,2313800428048;26,0840216644401;40,7477893497796;51,4037340844021;28,849755543763;36,3774890879048;34,1005846860652;38,7385878713842;32,2489958669682;48,4159766413464;26,6181557026572;33,1867376036579;41,8174127048974;46,3238874564292
hsa-miR-148b-3p z prekursora hsa-mir-148b;2259,33501634501;2089,04365996978;3137,00998182046;1897,37661558497;1422,31259036533;2328,12314883715;3338,87994544844;1602,53708100904;1849,10657876931;1867,05705585132;1596,7712524874;1383,55716830998;2362,88634720527;1682,43158211037;2199,84221806819;2319,4278809745;1766,73042402562;2702,7279104419;2197,73735660183;1425,87185292716
hsa-miR-29c-5p z prekursora hsa-mir-29c;1319,611602467;1184,27330896788;1145,2344847705;1285,25907310036;1064,98109885097;1139,36583291975;1172,91742191399;915,114426727441;980,757136763661;1336,49708619445;1376,00790571774;2165,67318369993;2033,24736190664;1088,11299350128;1341,78857803635;1812,57312551041;1527,96159451373;1675,26651423265;1116,06028130182;1289,15989238502
hsa-miR-331-5p z prekursora hsa-mir-331;48,2211013379207;28,9140990999278;56,8246118397575;53,513343438072;28,4041715531539;40,8578759875897;38,7225133965214;49,9943748568436;33,7223084274038;45,8961911467876;25,0867439510982;65,4794803582286;36,9423000765707;40,2096734867532;31,0972460145765;51,4419751814305;22,6452966425591;47,7889021492674;45,5345160564438;57,6223965921437
hsa-miR-361-5p z prekursora hsa-mir-361;940,899538300891;768,633134406414;964,561359946653;657,18141064299;565,628749570829;1243,32068195146;1015,52914165716;1025,97151880131;868,349442005649;776,563554203646;817,827852805803;1290,18827965102;1400,96568751918;937,081536990066;899,516634717934;832,149598523141;1032,9433556255;946,485756456324;652,351638196399;1467,67633672931
hsa-miR-324-5p z prekursora hsa-mir-324;851,514082162306;802,366250022996;587,187655677494;868,418292635379;1222,43138313944;925,249875212632;1394,01048227477;784,69431840524;404,667701128846;820,623897704562;731,278586174514;1056,15976651884;502,983624119462;719,360865915451;737,119905530701;1046,99549486912;932,827307311033;1235,87410836022;1004,54718075542;1001,0479094243
hsa-miR-93-3p z prekursora hsa-mir-93;62,334594412434;49,39491929571;46,6253225351857;30,9814093588838;67,3284066445128;62,7090818163955;77,4450267930427;69,5573911051737;42,1528855342548;66,0905152513741;71,49722026063;76,3927270846;69,6220270673832;55,4108915122331;62,1944920291529;40,850980291136;38,1394469769417;106,197560331705;46,4637918943304;58,7522475057151
hsa-miR-185-5p z prekursora hsa-mir-185;2212,29003942997;2585,40236118521;1700,36723120505;2275,72534199801;2496,41107761608;2146,20216303165;1746,26044284958;1696,54824242463;2623,31457641512;1722,02509182747;2215,15949088197;1820,08703736484;3054,84404479334;3152,04611186402;4336,33819425483;2269,49890506311;2696,37944408858;1618,18532555436;2568,51841591859;2198,68987781003
hsa-miR-99b-3p z prekursora hsa-mir-99b;88,2093317157085;73,4900018789832;78,6802317781258;81,6782610370573;69,7830881367607;51,4602362122174;101,178180165104;68,4705568691553;37,9375969808293;91,7923822935752;90,3122782239537;124,896045868473;86,6723194104158;50,0169109225467;70,256740995895;104,396949632903;66,744032209648;142,039236943656;105,937445519073;105,076134962144
hsa-miR-151a-3p z prekursora hsa-mir-151a;246,986128803984;308,417057065896;205,442827420662;229,074663138414;179,893086503308;270,748076955737;251,071780409703;192,913076893255;182,662503981771;255,182822776139;234,561055942769;130,958960716457;265,700389012258;222,133927920722;218,832471954427;167,94291897467;199,834810722934;252,2192057878;250,904476229384;260,995561035004
hsa-miR-141-5p z prekursora hsa-mir-141;31,7553594176551;32,5283614874188;49,5394051936348;32,8590705321495;29,1055091223675;33,8758338884446;34,9751733904064;20,1064333663393;42,1528855342548;18,358476458715;23,8324067535433;32,7397401791143;39,7840154670761;25,498817333063;33,4007457193599;31,7729846708836;32,9747301988142;38,4966156202432;25,0904476229384;27,1164219257147
hsa-miR-151b z prekursora hsa-mir-151a;13271,3879877341;9595,86663878854;3756,25254674089;10881,9853296613;8433,23360100984;14326,2453079143;12061,4383663487;10840,0846700469;7719,59843750653;10831,5011106419;7982,60192523946;6260,56587202841;10792,8350531396;10323,588486788;7461,03554379357;9200,54856112586;8963,56461139332;9971,95091514713;11781,3590727264;13449,7452751545
hsa-miR-151a-5p z prekursora hsa-mir-151a;13281,9731075399;9597,0713929177;3767,90887737469;10895,1289578741;8444,45500211726;14345,5105722249;12087,6697463915;10849,8661781711;7740,67488027365;10837,0086535795;7991,38228562234;6265,4162039068;10794,2559108349;10338,7897048135;7471,40129246509;9211,13955601615;8973,89404494957;9979,91573217201;11802,7324169978;13468,9527406852
hsa-miR-17-3p z prekursora hsa-mir-17;203,469525157568;226,493776282768;106,364017033392;175,561319700342;146,228883181051;280,703951800814;222,342173696155;245,624537340145;281,019236895032;148,703659315592;131,705405743266;212,202019679444;261,4378159265;162,309779562382;179,672976973108;154,325925544292;115,212912742845;169,916096530729;197,935753469848;209,022419010717
hsa-miR-331-3p z prekursora hsa-mir-331;64,6868432581862;63,8519688456739;107,821058362617;59,1463269578691;56,107005537094;68,7860443841699;78,6941401284144;72,2744766952195;40,7477893497796;73,4339058348602;80,2775806435144;78,8178930237937;63,9385962863723;88,2651369221412;44,9182442432771;75,6499635021037;124,35048858107;99,5602128109738;58,5443777868563;81,349265777144
hsa-miR-30d-5p z prekursora hsa-mir-30d;28179,9411721117;24755,2878460548;31068,4922630551;20040,2777022647;21765,3101229772;31626,7112529885;29690,1748684489;22999,0426855021;24100,2097561179;25162,1278343148;13627,1193142366;26041,4318550614;22557,5367698321;18365,0328222668;21860,2121983949;20551,0690849815;17836,9453221224;17632,7774235755;17730,5829868765;21364,3509247224
hsa-miR-1307-3p z prekursora hsa-mir-1307;332,84321167394;285,526728611787;97,621769058045;305,119940655674;244,766811655573;280,445357648994;454,677254075283;248,34162293019;245,891832283153;352,482748007329;309,821287796063;168,549032773959;240,124950497709;245,671297766626;382,380950994051;279,904864957784;376,627038897299;380,983747689993;341,044232504385;312,96870305929
hsa-let-7e-3p z prekursora hsa-let-7e;49,3972257607968;57,8281981998556;32,0549092429401;51,6356822648063;29,8068466915812;50,8137508326669;51,2136467502379;46,1904550307794;40,7477893497796;66,0905152513741;51,4278250997514;87,3059738109714;68,2011693721305;35,3060547688565;44,9182442432771;55,9809729915568;46,4824510031477;65,0460057031695;51,1101710837635;62,1418002464295
hsa-miR-200a-5p z prekursora hsa-mir-200a;65,8629676810623;57,8281981998556;55,367570510533;55,3910046113377;52,6003176910257;68,7860443841699;0;45,6470379127702;71,6599054082331;69,7622105431171;51,4278250997514;55,778816601454;32,6797269908125;72,083195153082;55,2839929148026;74,1369642320616;37,7421610709319;76,9932312404864;64,120032814176;36,1552292342862
