treatment,pair,carcass,male_pop,male_treatment,female_pop,female_treatment,treat_cross,cross,MALE_ID,MALE_SIZE,FEMALE_ID,FEMALE_SIZE,no_eggs,hole,no_larvae,brood_mass,failure
N,1,11.17,F1,F,F2,F,FF,F1F2,F1_13-01,4.84,F2_04-05,3.98,14,0,0,0,Fail
F,2,11.55,F1,F,F2,F,FF,F1F2,F1_20-10,3.63,F2_18-07,3.92,18,0,23,3.1779,Success
N,3,10.31,F1,F,F2,F,FF,F1F2,F1_17-02,4.71,F2_13-04,5.07,23,1,14,1.7394,Success
N,4,11.56,F1,F,F2,F,FF,F1F2,F1_15-02,3.81,F2_03-07,4.81,22,0,7,1.0609,Success
N,5,11.13,F1,F,F2,F,FF,F1F2,F1_17-09,4.44,F2_13-05,4.62,20,0,7,0.8099,Success
F,6,11.98,F1,F,F2,F,FF,F1F2,F1_14-06,4.44,F2_16-04,4.57,20,1,15,2.3927,Success
N,7,10.41,F1,F,F2,F,FF,F1F2,F1_11-03,5.29,F2_02-05,4.57,18,1,25,2.6812,Success
F,8,10.76,F1,F,F2,F,FF,F1F2,F1_13-02,4.89,F2_16-05,4.02,20,0,21,3.0116,Success
N,9,10.3,F1,F,F2,F,FF,F1F2,F1_13-08,4.52,F2_25-04,4.36,27,0,16,2.2044,Success
N,10,10.49,F1,F,F2,F,FF,F1F2,F1_02-07,4.91,F2_10-13,#N/A,21,0,11,1.0045,Success
F,11,12.17,F1,F,F2,F,FF,F1F2,F1_01-14,4.42,F2_20-01,5.39,38,0,27,3.3081,Success
N,12,12.13,F1,F,F2,F,FF,F1F2,F1_20-11,4.52,F2_07-01,5.08,9,1,7,1.034,Success
F,13,12.84,F1,F,F2,F,FF,F1F2,F1_17-03,4.58,F2_18-01,4.35,35,0,22,3.2541,Success
N,14,12.83,F1,F,F2,F,FF,F1F2,F1_15-01,5.54,F2_21-01,4.29,35,0,0,0,Fail
N,15,12.49,F1,F,F2,F,FF,F1F2,F1_14-01,4.78,F2_22-01,4.6,19,0,6,0.6992,Success
N,16,12.08,F1,F,F2,F,FF,F1F2,F1_14-07,4.93,F2_03-02,5.1,29,0,0,0,Fail
F,17,10.91,F1,F,F2,F,FF,F1F2,F1_11-04,5.19,F2_13-02,4.27,21,0,26,3.1973,Success
F,18,11.58,F1,F,F2,F,FF,F1F2,F1_13-03,4.34,F2_05-05,4.78,37,0,22,2.7684,Success
N,19,12,F1,F,F2,F,FF,F1F2,F1_20-03,4.85,F2_18-04,4.61,31,1,28,2.8845,Success
N,20,10.7,F1,F,F2,F,FF,F1F2,F1_09-05,4.55,F2_17-04,4.78,23,0,5,0.6832,Success
F,21,11.93,F1,F,F2,F,FF,F1F2,F1_09-01,4.58,F2_03-09,#N/A,6,1,0,0,Fail
