SampleID,SedimentIntervalDepth_Top_cm,SedimentIntervalDepth_Bottom_cm,SedimentInterval_MidDepth_cm,AgeModelEstimatedYear,SedimentYear,DNAfraction
300A-S,0,0.5,0.25,2016.586,2017,Extracellular
302A-S,1,1.5,1.25,2013.242,2013,Extracellular
304A-S,2,2.5,2.25,2009.741,2010,Extracellular
305A-S,2.5,3,2.75,2007.925,2008,Extracellular
306A-S,3,3.5,3.25,2006.059,2006,Extracellular
309A-S,4.5,5,4.75,2000.142,2000,Extracellular
311A-S,5.5,6,5.75,1995.898,1996,Extracellular
313A-S,6.5,7,6.75,1991.386,1991,Extracellular
315A-S,7.5,8,7.75,1986.580,1987,Extracellular
318A-S,9,9.5,9.25,1978.767,1979,Extracellular
320A-S,10,10.5,10.25,1973.119,1973,Extracellular
323A-S,11.5,12,11.75,1963.925,1964,Extracellular
326A-S,13,13.5,13.25,1953.791,1954,Extracellular
330A-S,15,15.5,15.25,1938.672,1939,Extracellular
333A-S,16.5,17,16.75,1926.017,1926,Extracellular
337A-S,18.5,19,18.75,1907.232,1907,Extracellular
340A-S,20,20.5,20.25,1891.599,1892,Extracellular
344A-S,22,22.5,22.25,1868.538,1869,Extracellular
348A-S,24,24.5,24.25,1842.759,1843,Extracellular
355A-S,27.5,28,27.75,1790.509,1791,Extracellular
300A-P,0,0.5,0.25,2016.586,2017,Intracellular
302A-P,1,1.5,1.25,2013.242,2013,Intracellular
304A-P,2,2.5,2.25,2009.741,2010,Intracellular
305A-P,2.5,3,2.75,2007.925,2008,Intracellular
306A-P,3,3.5,3.25,2006.059,2006,Intracellular
309A-P,4.5,5,4.75,2000.142,2000,Intracellular
311A-P,5.5,6,5.75,1995.898,1996,Intracellular
313A-P,6.5,7,6.75,1991.386,1991,Intracellular
315A-P,7.5,8,7.75,1986.580,1987,Intracellular
318A-P,9,9.5,9.25,1978.767,1979,Intracellular
320A-P,10,10.5,10.25,1973.119,1973,Intracellular
323A-P,11.5,12,11.75,1963.925,1964,Intracellular
326A-P,13,13.5,13.25,1953.791,1954,Intracellular
330A-P,15,15.5,15.25,1938.672,1939,Intracellular
333A-P,16.5,17,16.75,1926.017,1926,Intracellular
337A-P,18.5,19,18.75,1907.232,1907,Intracellular
340A-P,20,20.5,20.25,1891.599,1892,Intracellular
344A-P,22,22.5,22.25,1868.538,1869,Intracellular
348A-P,24,24.5,24.25,1842.759,1843,Intracellular
351A-P,25.5,26,25.75,1821.522,1822,Intracellular
355A-P,27.5,28,27.75,1790.509,1791,Intracellular
