asvCode,Kingdom,Phylum,SubPhylum,Class,Order,Family,Genus,Species
asv0241,Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Abeoformidae_Group_MAIP_,Abeoformidae_Group_MAIP_,Abeoformidae_sp.
asv4566,Eukaryota,Amoebozoa,Lobosa,Lobosa,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba_hatchetti
asv8237,Eukaryota,Amoebozoa,Lobosa,Lobosa,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba_hatchetti
asv3057,Eukaryota,Amoebozoa,Lobosa,Lobosa,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba_unclassified
asv6011,Eukaryota,Amoebozoa,Lobosa,Lobosa,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba_unclassified
asv0900,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta,Raphid-pennate,Achnanthidium,Achnanthidium_minutissimum
asv1704,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta,Raphid-pennate,Achnanthidium,Achnanthidium_minutissimum
asv2087,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta,Raphid-pennate,Achnanthidium,Achnanthidium_minutissimum
asv0052,Eukaryota,Opisthokonta,Metazoa,Rotifera,Rotifera,Rotifera,Adineta,Adineta_vaga
asv0256,Eukaryota,Opisthokonta,Metazoa,Rotifera,Rotifera,Rotifera,Adineta,Adineta_vaga
asv0504,Eukaryota,Opisthokonta,Metazoa,Rotifera,Rotifera,Rotifera,Adineta,Adineta_vaga
asv0155,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified
asv0224,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified
asv0768,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified
asv0836,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes_unclassified,Agaricomycetes_unclassified
