"","T_49","T_50","T_51","T_52","T_53","T_54","T_55","T_56","T_57","T_58","T_59","T_60","T_61","T_62","T_63","T_64","T_65","T_66","T_67","T_68","T_69","T_70","T_71","T_72"
"ENSG00000227232.5",147.257789442135,101.332693033725,155.324370265355,145.838870137526,278.406196982825,157.696548360837,213.259360555945,199.993441943508,187.103597613174,195.556943381295,214.460620592154,215.454410776906,199.566947429696,259.264291559706,176.728411651067,211.410119235931,254.998415113616,187.216706897696,206.165604121893,206.1662720261,174.89013786204,213.596221718899,213.06639075069,178.360873917388
"ENSG00000278267.1",25.2153749044751,15.7921080052559,26.957122112169,21.5587894985908,39.2772228108549,34.2818583393124,27.1603902594835,13.7334552407559,25.8885480974202,16.3874533559744,32.0846597736293,18.1134239148726,35.4998896870133,21.9439995990974,20.3237673398727,20.7634938535289,31.979999255173,28.8594923676291,14.7882500846928,16.0129143321243,17.9681648488397,10.2526186425071,19.769046564497,5.30835934277942
"ENSG00000268903.1",22.1895299159381,40.7962790135776,53.914244224338,51.9947276142483,49.6741347313753,65.6252716781122,45.2673170991392,46.3504114375513,29.4188046561594,52.4398507391181,52.348655420132,30.5068192250486,26.8647813847668,44.7007399240872,49.4839552622987,50.0211442835015,36.1878938940115,42.1792580757656,41.7550590626619,28.0226000812175,52.7066168899298,93.1279526694398,51.6191771406312,42.4668747422353
"ENSG00000269981.1",36.3101398624442,25.0041710083218,57.7652616689336,43.1175789971815,30.0355233259479,32.3228950056374,32.1900921593879,37.7670019120788,15.2977784212029,29.4974160407539,48.1269896604439,26.6934668219175,33.5809767309585,42.2625177464097,32.6947561554474,25.482469729331,28.6136835441021,45.1392060109071,25.2270148503582,20.0161429151553,27.5511861015542,71.76833049755,15.3759251057199,33.9734997937883
"ENSG00000279457.4",226.938374140276,300.050052099861,254.167151343308,253.63281763048,341.942880941561,260.542123378774,309.829637034108,299.560992438989,325.960355590246,293.881663517141,391.770582499052,318.414925661445,317.580094227065,290.961179869513,304.85651009809,325.60933543034,358.512623229045,364.813583006183,344.479237266961,315.254250913697,264.730962106238,293.054016198329,304.223661020315,342.92001354355
"ENSG00000237094.12",19.1636849274011,34.2162340113877,24.3897771491053,21.5587894985908,15.0177616629739,12.7332616688874,24.1425691195409,23.1752057187756,24.7117959111739,21.8499378079659,20.2639956465027,30.5068192250486,23.9864119506847,33.3223697615923,27.3929038059154,24.5386745541705,33.6631571107084,31.0794533189852,15.6581471484982,31.0250215184908,16.7702871922504,26.4859314931434,16.4742054704142,9.55504681700295
"ENSG00000225630.1",13789.7842277594,12253.3598030781,11944.5724406539,14082.9621989324,11830.5305531166,11052.4711285943,11558.2549659802,10912.9468706857,11013.2237110798,13130.7201256971,13704.3713890994,12470.6156963394,16029.6393784035,14088.8604833464,15148.2758046712,12730.8531177387,12648.0897054209,13916.1952170675,16522.8248299208,11100.9528607452,21493.5187921821,29172.9719623672,15258.4091066976,16779.7238825257
"ENSG00000237973.1",730.2372572336,585.624005194905,500.632267797424,623.93673137098,621.504290359999,526.961136758573,524.094937970034,568.221710586277,676.632507091665,571.375873678308,639.160196016773,511.942560120347,720.551814998567,897.265761385314,735.190192468438,691.801863392577,630.342616898015,705.947582531235,769.858901467829,640.516573284971,989.446944342773,692.906143256107,585.383434382051,649.743183556201
"ENSG00000248527.1",11608.1499910242,10234.6019964062,10583.8796102302,12405.1811103068,9055.71028277329,8664.49482484449,8979.02383170926,8064.97159013392,7399.4177471172,9303.70351863187,9524.07795385627,8844.11756096174,10796.7637472422,9607.40812077518,10053.1956967709,8981.15488682642,8354.35401595006,8620.10837411568,10330.0276326898,7139.75817783591,12558.5493516824,19140.784620674,9263.99487619625,10687.8507007521
"ENSG00000228327.3",110.947649579691,106.596729035477,143.771317931568,145.838870137526,159.419316114646,135.168470023574,116.689084077781,139.909575265201,171.805819191971,132.192123738194,164.644964627835,163.020815233853,123.769885665533,156.858960097251,182.913906058854,180.264878455637,151.484206998188,156.877240562497,117.436103613737,162.130757612758,161.713483639557,251.189156741425,124.105681210454,148.634061597824
"ENSG00000228794.10",268.291588983615,296.102025098547,337.605862642878,333.527155184081,386.996165930482,328.126358390561,370.186059832961,341.619699113804,385.974717088811,351.783998708251,347.020925446359,356.548449692755,324.296289573257,399.868437139107,342.85311860307,389.787407341248,383.759991062076,355.193752216974,334.040472501295,355.286536744007,348.58239806749,422.920519003419,383.299847278304,379.01685707445
"ENSG00000223764.2",46.3962898242342,30.2682070100737,30.8081395567646,6.34082044076199,57.760621780669,35.2613400061499,45.2673170991392,60.0838666783072,45.8933352636086,49.1623600679232,43.9053239007559,35.2735097289624,20.1485860385751,30.8841475839148,52.1348814370647,42.4707828822183,50.4947356660626,33.2994142703413,33.0560884246073,31.0250215184908,16.7702871922504,31.612240814397,26.3587287526627,6.3700312113353
"ENSG00000187634.12",68.5858197401724,50.0083420166435,68.0346415211884,15.2179690578288,62.3814715231225,51.9125283423873,75.4455284985654,90.1258000174608,62.3678658710578,72.1047947662874,75.9899836743852,62.9203146516627,38.3782591210954,52.0154064571197,60.9713020196181,84.9415657644365,60.5936827992751,74.7386853623215,44.3647502540783,62.0500430369815,49.1129839201619,43.5736292306553,48.3243360465483,69.0086714561324
"ENSG00000188976.11",2427.73629580287,2447.77674081466,2435.12669746593,2210.41000564963,2408.6179282539,2149.9622587083,2251.29457039719,2399.9213033221,2507.65890889102,2339.03584234275,2273.78917816799,2370.95185664675,2337.23598047471,2408.15077081946,2318.676760862,2451.03606989157,2305.08468315576,2541.85528930272,2466.15817588847,2549.05580024503,2629.34145621354,2928.83139220954,2262.45755127022,2335.67811082294
