"","condition","timepoint"
"F_1","0","24"
"F_2","0","24"
"F_3","0","24"
"F_4","0","24"
"F_5","20","24"
"F_6","20","24"
"F_7","20","24"
"F_8","20","24"
"F_9","40","24"
"F_10","40","24"
"F_11","40","24"
"F_12","40","24"
"F_13","60","24"
"F_14","60","24"
"F_15","60","24"
"F_16","60","24"
"F_17","80","24"
"F_18","80","24"
"F_19","80","24"
"F_20","80","24"
"F_21","100","24"
"F_22","100","24"
"F_23","100","24"
"F_24","100","24"
"S_25","0","48"
"S_26","0","48"
"S_27","0","48"
"S_28","0","48"
"S_29","20","48"
"S_30","20","48"
"S_31","20","48"
"S_32","20","48"
"S_33","40","48"
"S_34","40","48"
"S_35","40","48"
"S_36","40","48"
"S_37","60","48"
"S_38","60","48"
"S_39","60","48"
"S_40","60","48"
"S_41","80","48"
"S_42","80","48"
"S_43","80","48"
"S_44","80","48"
"S_45","100","48"
"S_46","100","48"
"S_47","100","48"
"S_48","100","48"
"T_49","0","72"
"T_50","0","72"
"T_51","0","72"
"T_52","0","72"
"T_53","20","72"
"T_54","20","72"
"T_55","20","72"
"T_56","20","72"
"T_57","40","72"
"T_58","40","72"
"T_59","40","72"
"T_60","40","72"
"T_61","60","72"
"T_62","60","72"
"T_63","60","72"
"T_64","60","72"
"T_65","80","72"
"T_66","80","72"
"T_67","80","72"
"T_68","80","72"
"T_69","100","72"
"T_70","100","72"
"T_71","100","72"
"T_72","100","72"
