Plantlabel,PlantlabelDNA,Replicate,Generation,Soil,Soilline,Pollinationline,Herbivoryline,Treatment,Native_soil,Seedssowedout,Germination,Germinationrate,Weightperseed,NbFlowers,Height,leaf_size,Lengthperbranch,Timetofirstflower,Flowerproduction,Flowerdiameter,Petal_length,Petal_width,Style,Stamen,Herkogamy,Visits,MatriceNB
RA_G1_L_08,RA_G1_L_08,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,38.1,7.59,10.3,22,22,9.81,0.664,0.254,0.916,0.486,0.43,NA,NA
RA_G1_L_09,RA_G1_L_09,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,34.1,7.015,4.7,23,15,12.64,1.122,0.5565,0.9865,0.747,0.2395,NA,NA
RA_G1_L_10,RA_G1_L_10,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,39.6,8.19,7.7,22,21,14.57,1.0965,0.4725,0.8995,0.68,0.2195,NA,NA
RA_G1_L_11,RA_G1_L_11,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,38.2,9.75,5.7,23,18,15.085,1.1235,0.5205,0.6845,0.6405,0.044,NA,NA
RA_G1_L_02,RA_G1_L_02,A,1,L,G1,G1,G1,LG1,1,4,3,75,NA,5,37,10.385,6.4,23,18,14.545,1.0425,0.496,0.785,0.611,0.174,NA,NA
RA_G1_L_12,RA_G1_L_12,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,27.3,5.145,5.3,24,13,11.48,0.892,0.419,0.79,0.634,0.156,NA,NA
RA_G1_L_13,RA_G1_L_13,A,1,L,G1,G1,G1,LG1,1,4,3,75,NA,6,31.6,11.85,NA,23,9,14.83,1.087,0.533,1.0625,0.778,0.2845,NA,NA
RA_G1_L_14,RA_G1_L_14,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,32.2,5.865,17.6,22,22,12.875,0.883,0.4405,0.8375,0.705,0.1325,NA,NA
RA_G1_L_15,RA_G1_L_15,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,6,34.4,6.46,7.7,23,30,13.24,0.9805,0.412,0.957,0.6395,0.3175,NA,NA
RA_G1_L_16,RA_G1_L_16,A,1,L,G1,G1,G1,LG1,1,4,2,50,NA,4,19.1,5.83,6,21,9,14.655,1.046,0.5345,0.7365,0.61,0.1535,NA,NA
RA_G1_L_03,RA_G1_L_03,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,17.1,6.05,12.8,19,15,13.985,0.899,0.4235,0.7605,0.5995,0.161,NA,NA
RA_G1_L_17,RA_G1_L_17,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,7,42.3,14.415,NA,25,27,15.705,1.055,0.492,0.7185,0.7115,0.147,NA,NA
RA_G1_L_18,RA_G1_L_18,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,21.5,3.23,8.5,22,23,10.69,0.8525,0.387,0.5065,0.6085,0.102,NA,NA
RA_G1_L_19,RA_G1_L_19,A,1,L,G1,G1,G1,LG1,1,4,3,75,NA,8,34.5,11.165,NA,26,16,13.96,0.932,0.492,0.6535,0.6215,0.057,NA,NA
RA_G1_L_20,RA_G1_L_20,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,32.7,11.7,NA,26,19,14.795,1.054,0.422,0.637,0.7135,0.0765,NA,NA
RA_G1_L_21,RA_G1_L_21,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,14,40.7,17.15,8.1,25,33,NA,NA,NA,NA,NA,NA,NA,NA
RA_G1_L_22,RA_G1_L_22,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,31,5.51,NA,23,20,14.625,1.0945,0.4925,0.835,0.5685,0.2665,NA,NA
RA_G1_L_23,RA_G1_L_23,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,0,34.7,9.1,NA,25,15,13.135,1.036,0.3995,0.7765,0.602,0.1905,NA,NA
RA_G1_L_24,RA_G1_L_24,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,6,34.3,6.2,NA,23,32,13.8,0.9275,0.414,0.6205,0.608,0.1405,NA,NA
RA_G1_L_25,RA_G1_L_25,A,1,L,G1,G1,G1,LG1,1,4,2,50,NA,10,34.6,11.48,NA,21,23,13.59,1.0095,0.434,0.687,0.582,0.105,NA,NA
RA_G1_L_26,RA_G1_L_26,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,45.7,7.41,9,21,23,9.92,1.111,0.569,0.53,0.42,0.11,NA,NA
