ID,Generation,Replicate,Soilline,Pollinationline,Herbivoreline,Treatment,Nb_silliques,Nb_seeds,Nb_seeds_per_sillique,Relativeseedset,Visits,Timetofirstflower,Height,NbFlowers,Flowerdiameter,PetalArea,PetalLength,PetalWidth,logNectar,Style,Stamen,Herkogamy,LNBenzaldehyde,LN_1_Butene_4_isothiocyanate,LN_Methyl_benzoate,LN_Phenylethyl_Alcohol,LN_2_Amino_benzaldehyde,LN_p_Anisaldehyde,LN_Methyl_anthranilate,LN_Z_3_Hexen_1_ol_acetate,LN_Phenylacetaldehyde,LN_Benzyl_nitrile,LN_Methyl_salicylate,LN_Indole,LN_E.E_a_Farnesene,LN_Totalvolatiles
1,7,A,T,B,NH,TNHB,NA,0,NA,0,0,26,10,3,10.49,0.132791667,0.753875,0.319791667,1.715503375,0.7485,0.417,0.3315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,A,T,B,NH,TNHB,NA,0,NA,0,0,27,12.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,A,T,B,NH,TNHB,NA,0,NA,0,0,26,14.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,A,T,B,NH,TNHB,3,30,10,2.223903177,2,22,22.3,5,12.88666667,0.228972222,0.890861111,0.4405,1.985545454,0.509333333,0.586,0.076666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7,A,T,B,NH,TNHB,NA,0,NA,0,0,28,14.4,3,13.25666667,0.215361111,0.948805556,0.400611111,1.888478713,0.888333333,0.639,0.249333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,A,T,B,NH,TNHB,NA,0,NA,0,0,28,11.6,1,13.28666667,0.256833333,0.879388889,0.474472222,2.088070431,0.679333333,0.591333333,0.090666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,A,T,B,NH,TNHB,2,17,8.5,1.2602118,1,24,23.3,6,15.33,0.323916667,1.023416667,0.5315,2.188620049,0.699333333,0.643,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7,A,T,B,NH,TNHB,4,39,9.75,2.89107413,2,24,18,6,12.55666667,0.232,0.85825,0.493583333,2.018067162,0.668666667,0.561333333,0.107333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7,A,T,B,NH,TNHB,1,2,2,0.148260212,1,26,21.2,5,11.42,0.168333333,0.74375,0.383333333,1.337274337,0.529,0.421666667,0.114666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7,A,T,B,NH,TNHB,NA,0,NA,0,0,30,9.9,0,NA,NA,NA,NA,2.023727185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,7,A,T,B,NH,TNHB,NA,0,NA,0,0,NA,11.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,7,A,T,B,NH,TNHB,NA,0,NA,0,0,32,8.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,7,A,T,B,NH,TNHB,2,2,1,0.148260212,2,28,15.1,9,13.82,0.284416667,0.8595,0.55475,1.932262678,0.777333333,0.555,0.222333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,7,A,T,B,NH,TNHB,NA,0,NA,0,1,24,12.4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,7,A,T,B,NH,TNHB,5,40,8,2.965204236,3,23,24.1,6,15.4,0.267583333,1.037333333,0.456666667,2.179550155,0.812,0.696,0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,7,A,T,B,NH,TNHB,8,64,8,4.744326778,1,21,24.1,11,12.82,0.238666667,0.886083333,0.471166667,2.134039002,0.433333333,0.627333333,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,7,A,T,B,NH,TNHB,NA,0,NA,0,0,32,5.6,0,14.44,0.306833333,0.96925,0.535666667,2.237674037,0.591,0.643,0.069333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,7,A,T,B,NH,TNHB,NA,0,NA,0,0,28,12.7,1,13.66,0.261027778,0.916944444,0.478972222,2.253419472,0.671333333,0.632666667,0.127333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,7,A,T,B,NH,TNHB,NA,0,NA,0,0,32,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,7,A,T,B,NH,TNHB,3,20,6.666666667,1.482602118,2,26,21.1,8,13.85333333,0.268055556,0.938722222,0.486027778,2.088070431,0.753333333,0.606,0.147333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,7,A,T,B,NH,TNHB,8,52,6.5,3.854765507,1,25,28.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,7,A,T,B,NH,TNHB,NA,0,NA,0,0,24,35,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,7,A,T,B,NH,TNHB,NA,0,NA,0,1,23,35.2,15,13.46333333,0.245083333,0.9355,0.48725,1.776726012,0.666333333,0.656,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,7,A,T,B,NH,TNHB,7,49,7,3.632375189,1,23,25.4,11,14.34666667,0.263777778,0.944583333,0.471555556,2.176264448,0.709666667,0.623333333,0.086333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,7,A,T,B,NH,TNHB,3,19,6.333333333,1.408472012,2,23,18.3,6,12.32666667,0.236083333,0.934666667,0.461916667,2.357951127,0.721,0.610666667,0.110333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,7,A,T,B,NH,TNHB,NA,0,NA,0,1,21,27.4,7,9.66,0.364,1.086638889,0.563611111,2.057956373,0.812666667,0.681,0.147666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,7,A,T,B,NH,TNHB,NA,0,NA,0,0,24,27.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,7,A,T,B,NH,TNHB,5,77,15.4,5.708018154,1,24,31,10,14.06333333,0.275666667,0.979083333,0.499166667,1.839780554,0.670333333,0.700333333,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,7,A,T,B,NH,TNHB,6,60,10,4.447806354,1,24,26.2,9,14.33333333,0.272333333,0.98925,0.48125,2.169617504,0.646666667,0.658666667,0.072666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,7,A,T,B,NH,TNHB,NA,0,BA,0,1,22,32.3,11,12.53333333,0.23375,0.934083333,0.45925,2.048322262,0.702666667,0.683333333,0.054666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,7,A,T,B,NH,TNHB,2,19,9.5,1.408472012,1,20,28.1,7,11.85333333,0.138111111,0.715333333,0.336888889,1.761568057,0.636,0.436,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,7,A,T,B,NH,TNHB,NA,0,NA,0,0,24,21.4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,7,A,T,B,NH,TNHB,NA,0,NA,0,0,23,14.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,7,A,T,B,NH,TNHB,2,10,5,0.741301059,1,24,33.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,7,A,T,B,NH,TNHB,NA,0,NA,0,0,24,34.8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,7,A,T,B,NH,TNHB,1,15,15,1.111951589,1,27,28,6,14.05,0.275805556,0.903972222,0.5035,2.050971013,0.606,0.613,0.066333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,7,A,T,B,NH,TNHB,5,48,9.6,3.558245083,1,21,26.8,10,16.48333333,0.324833333,1.035972222,0.537805556,2.151145383,0.835333333,0.644666667,0.190666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,7,A,T,B,NH,TNHB,1,1,1,0.074130106,3,23,29.1,11,14.85666667,0.29625,0.99975,0.51875,2.059685297,0.817,0.682666667,0.134333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,7,A,T,B,NH,TNHB,NA,0,NA,0,0,31,9.2,0,12.88,0.21075,0.8855,0.422833333,2.215951483,0.717333333,0.700666667,0.040666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,7,A,T,B,NH,TNHB,NA,0,NA,0,0,29,13,0,11.75666667,0.264388889,0.903361111,0.498777778,1.924087756,0.647666667,0.682333333,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,7,A,T,B,NH,TNHB,NA,0,NA,0,0,28,15.4,1,NA,NA,NA,NA,2.312212328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,7,A,T,B,NH,TNHB,2,2,1,0.148260212,1,27,21.4,3,13.92666667,0.217972222,0.899,0.413083333,1.96779057,0.711666667,0.572,0.145666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
