ID,Well,Cq,Site,Date,Year,Region,Island,Locale,Chondria_cover,Category,Lat,Long,X,Y,Depth_m,Visual_presence,Plate,Threshold,E,SQ.E
CT1168,C7,24.24278279,H04,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.45352,-178.32867,-19851456.74,3306273.548,1.5,1,10,2367,2.03,8.31E-05
CT1169,C8,23.63004631,H04,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.45352,-178.32867,-19851456.74,3306273.548,1.5,1,10,2367,2.03,0.000128249
CT1170,C9,24.08175845,H04,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.45352,-178.32867,-19851456.74,3306273.548,1.5,1,10,2367,2.03,9.31E-05
CT1171,C10,24.44091092,H04,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.45352,-178.32867,-19851456.74,3306273.548,1.5,1,10,2367,2.03,7.22E-05
CT1172,C11,0,H04,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.45352,-178.32867,-19851456.74,3306273.548,1.5,1,10,2367,2.03,NA
CT1173,C12,0,H04,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.45352,-178.32867,-19851456.74,3306273.548,1.5,1,10,2367,2.03,NA
CT1180,D7,22.96794275,H05,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42157,-178.2881,-19846940.51,3302228.843,1.5,1,10,2367,2.03,0.00020495
CT1181,D8,24.51092069,H05,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42157,-178.2881,-19846940.51,3302228.843,1.5,1,10,2367,2.03,6.87E-05
CT1182,D9,23.3874769,H05,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42157,-178.2881,-19846940.51,3302228.843,1.5,1,10,2367,2.03,0.00015228
CT1183,D10,24.11620589,H05,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42157,-178.2881,-19846940.51,3302228.843,1.5,1,10,2367,2.03,9.09E-05
CT1184,D11,25.09746873,H05,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42157,-178.2881,-19846940.51,3302228.843,1.5,1,10,2367,2.03,4.54E-05
CT1185,D12,23.6390727,H05,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0.01,Low,28.42157,-178.2881,-19846940.51,3302228.843,1.5,1,10,2367,2.03,0.000127432
CT1192,E7,0,H06,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.45377,-178.34331,-19853086.46,3306305.202,16.8,0,10,2367,2.03,NA
CT1193,E8,0,H06,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.45377,-178.34331,-19853086.46,3306305.202,16.8,0,10,2367,2.03,NA
CT1194,E9,0,H06,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.45377,-178.34331,-19853086.46,3306305.202,16.8,0,10,2367,2.03,NA
CT1195,E10,0,H06,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.45377,-178.34331,-19853086.46,3306305.202,16.8,0,10,2367,2.03,NA
CT1196,E11,0,H06,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.45377,-178.34331,-19853086.46,3306305.202,16.8,0,10,2367,2.03,NA
CT1197,E12,0,H06,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.45377,-178.34331,-19853086.46,3306305.202,16.8,0,10,2367,2.03,NA
CT1204,F7,0,H07,7/11/2023,2023,PMNM,Hōlanikū,Hōlanikū,0,Absent,28.38196,-178.32465,-19851009.23,3297216.116,13.7,0,10,2367,2.03,NA
