SampleID,PlateID,Forward,Reverse
K18-2,A10,A10_S316_L001_R1_001.fastq,A10_S316_L001_R2_001.fastq
K09,A11,A11_S318_L001_R1_001.fastq,A11_S318_L001_R2_001.fastq
M02,A12,A12_S320_L001_R1_001.fastq,A12_S320_L001_R2_001.fastq
OA02-1,A3,A3_S296_L001_R1_001.fastq,A3_S296_L001_R2_001.fastq
OA02-2,A4,A4_S299_L001_R1_001.fastq,A4_S299_L001_R2_001.fastq
K09_EB,A5,A5_S301_L001_R1_001.fastq,A5_S301_L001_R2_001.fastq
K14_EB,A6,A6_S304_L001_R1_001.fastq,A6_S304_L001_R2_001.fastq
K03,A7,A7_S307_L001_R1_001.fastq,A7_S307_L001_R2_001.fastq
K02,A8,A8_S310_L001_R1_001.fastq,A8_S310_L001_R2_001.fastq
K10,A9,A9_S313_L001_R1_001.fastq,A9_S313_L001_R2_001.fastq
M06,B1,B1_S291_L001_R1_001.fastq,B1_S291_L001_R2_001.fastq
K14,B10,B10_S317_L001_R1_001.fastq,B10_S317_L001_R2_001.fastq
M07,B11,B11_S319_L001_R1_001.fastq,B11_S319_L001_R2_001.fastq
Standard,B12,B12_S321_L001_R1_001.fastq,B12_S321_L001_R2_001.fastq
OA14,B2,B2_S294_L001_R1_001.fastq,B2_S294_L001_R2_001.fastq
K07,B3,B3_S297_L001_R1_001.fastq,B3_S297_L001_R2_001.fastq
OA06,B4,B4_S300_L001_R1_001.fastq,B4_S300_L001_R2_001.fastq
OA09,B5,B5_S302_L001_R1_001.fastq,B5_S302_L001_R2_001.fastq
K16,B6,B6_S305_L001_R1_001.fastq,B6_S305_L001_R2_001.fastq
K05,B7,B7_S308_L001_R1_001.fastq,B7_S308_L001_R2_001.fastq
K18-1,B8,B8_S311_L001_R1_001.fastq,B8_S311_L001_R2_001.fastq
M04,B9,B9_S314_L001_R1_001.fastq,B9_S314_L001_R2_001.fastq
NTC,C9,C9_S315_L001_R1_001.fastq,C9_S315_L001_R2_001.fastq
