Target,Cq,SQ
rbcL,8.190706354,0.1
rbcL,10.84627426,0.01
rbcL,15.08173931,0.001
rbcL,17.84338306,0.0001
rbcL,22.12738119,1.00E-05
rbcL,25.49774,1.00E-06
rbcL,29.21201,1.00E-07
rbcL,8.168235784,0.1
rbcL,10.87349341,0.01
rbcL,15.08381608,0.001
rbcL,17.95744664,0.0001
rbcL,22.13319788,1.00E-05
rbcL,25.7973,1.00E-06
rbcL,30.01828,1.00E-07
rbcL,8.019977356,0.1
rbcL,10.87778881,0.01
rbcL,14.82197047,0.001
rbcL,17.76339391,0.0001
rbcL,21.47508664,1.00E-05
rbcL,25.50971,1.00E-06
rbcL,29.18205,1.00E-07
rbcL,7.986685103,0.1
rbcL,7.876477976,0.1
rbcL,7.96632698,0.1
rbcL,10.82757748,0.01
rbcL,10.51226077,0.01
rbcL,NULL,0.01
rbcL,13.81054994,0.001
rbcL,13.98110957,0.001
rbcL,13.94863106,0.001
rbcL,17.15105697,0.0001
rbcL,16.79067958,0.0001
rbcL,16.58056397,0.0001
rbcL,20.08562932,1.00E-05
rbcL,19.76957196,1.00E-05
rbcL,19.66809613,1.00E-05
rbcL,28.24024837,1.00E-06
rbcL,NULL,1.00E-06
rbcL,NULL,1.00E-06
rbcL,NULL,1.00E-07
rbcL,NULL,1.00E-07
rbcL,NULL,1.00E-07
