Sp-code	DNA bank number	Collection Code	Genus	Species	Habitat	Province	Parish	Locality name	x coordinate	y coordinate	Date I	Voucher no	Date II	Collector	ChrNr	105b	134	135	136	137	138	139	140	141	142	144	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	2A8 	150	151	152	153	154	159	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	243	247	258	117b	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	275a	92	97	98	100	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	195	196	200	202							
wahlbergii	13655	wa14	Rubus	wahlbergii	betesmark mot bäck	Sk	Tranås	Björkhaga	6167431	1389434	2010-07-20		2010-07-20	UR													5		5		5		5												2																																															5										3								3																																			2																							4											2											5						2											2																																																																5								4				2																																																										3				0		
wahlbergii	13667	wa26	Rubus	wahlbergii	betesmark	Hl	Onsala	Mårtagåden, Timjankullen	6369547	1270923	2008-06-08		2008-06-08	UR													5		5		5		5												2																																															5										3								3																																			2																							3											2											5						2											2																																																																5		4						4		2						1																																																						5				0		
wahlbergii	13668	wa27	Rubus	wahlbergii ssp nordicus?	häck	Hl	Släp	Gamla Kullaviksskolan i snöbärshäck	6386730	1269618	2007-06-23	2	2007-06-23	UR													5		5		5		5												3																																															5										4								4																														2																												3														2								5						2									2																																																																		5		4						5								1																																																						4				1		
wahlbergii	13669	wa28	Rubus	wahlbergii ssp nordicus?	vägkant	Hl	Släp	Kullavik, vid motorvägsavfarten, N-sidan	6386953	1270412	2005-07-04	3	2005-07-04	UR	35.4												5		5		5		5												3																																															5										3								3																														1																												2													2									5						1									2																																																																		5		5						4								1																																																						4				1		
wahlbergii	18150	wa28n	Rubus	wahlbergii ssp nordicus?	vägkant	Hl	Släp	Kullavik, vid motorvägsavfarten, N-sidan	6386953	1270412	2005-07-04	3	2014-08-01	UR	35.4												5		5		5		5												3																																															5										4								4																																																										4													3									5						2									3																																																																		5		5						5								1																																																						4				1		
wahlbergii	13673	wa31	Rubus	wahlbergii		Bh	Rönnäng	Dyrön	6430002	1251750	2012-07-09		2012-07-09	TM													5		3		3		4												2																																															5										3								3																																						2																				4											3											4						2													2																																																																5								5																																																												2				0		
wahlbergii	13674	wa32	Rubus	wahlbergii		Bh	Rönnäng	Rönnäng	6431220	1250278	2012-07-09		2012-07-09	TM													5		5		5		5												3																																															5										4								4																																		2																								5											3											5						2											2																																																																5		4						4		2				1																																																								5				0		
wahlbergii	13677	wa35	Rubus	wahlbergii		Bh	Öckerö	Rörö	6413501	1251015	2012-08-01		2012-08-01	TM													5		5		5		5												3																																															5										4								4																																				2																						3											2											5						1									2																																																																		5		4						4		3				1																																																								5				0		
wahlbergii	13681	wa53a	Rubus	wahlbergii	vägkant vid åker	Öl	Högby	300 m Ö Gudesjö	6337146	1569454	2012-07-09		2012-07-09	TB													5		5		5		5												3																																															5										4								4																																		2																								3									2													5						3									2																																																																5				5						4		3								2																																																				5				0		
