Genus,species,Specimen_number,Successful_Barcode,Year,Antenna,Ascoids,Palps,Wings,Legs,Genitalia,Total_changes,Treatment,Treatment_new,Fix Factor Shake,Fix Factor Time,DNA_median_fullstop,Average,1_Measurement,2_Measurement,3_Measurement
Trichomyia,urbica,ZFMK-TIS-2629675,yes,2013,2,2,2,0,1,0,7,1,C16,constant,16,0.517,0.524,0.517,0.635,0.42
Lepiseodina,rothschildi,ZFMK-TIS-2629676,yes,2013,1,1,0,0,2,0,4,1,C16,constant,16,0.832,0.842,0.9,0.832,0.794
Ulomyia,cognata,ZFMK-TIS-2629677,yes,2013,1,0,0,0,0,0,1,1,C16,constant,16,0.628,0.6367,0.692,0.628,0.59
Trichomyia,urbica,ZFMK-TIS-2629678,yes,2013,0,0,1,0,0,0,1,1,C16,constant,16,0.306,0.3027,0.318,0.306,0.284
Trichomyia,urbica,ZFMK-TIS-2629679,yes,2013,0,2,1,0,0,0,3,1,C16,constant,16,0,0,0,0,0
Lepiseodina,rothschildi,ZFMK-TIS-2629680,yes,2013,0,0,0,0,0,0,0,1,C16,constant,16,0.399,0.3987,0.437,0.399,0.36
Telmatoscopus,advena,ZFMK-TIS-2629681,yes,2013,1,0,0,1,0,0,2,1,C16,constant,16,0.382,0.3917,0.448,0.382,0.345
Lepiseodina,tristis,ZFMK-TIS-2629682,yes,2013,1,2,0,0,1,0,4,1,C16,constant,16,0.0957,0.1074,0.14,0.0957,0.0865
Philosepedon,humeralis,ZFMK-TIS-2629683,no,2013,0,2,0,0,0,0,2,1,C16,constant,16,0.353,0.3533,0.404,0.353,0.303
Psychoda,gemina,ZFMK-TIS-2629684,yes,2013,2,2,0,0,0,0,4,1,C16,constant,16,0.631,0.6417,0.731,0.631,0.563
Psychoda,cinerea,ZFMK-TIS-2629685,yes,2013,1,0,1,0,1,0,3,1,C16,constant,16,0.15,0.1553,0.18,0.15,0.136
Peripsychoda,auriculata,ZFMK-TIS-2629686,yes,2020,2,1,0,0,2,0,5,1,C16,constant,16,0.146,0.1457,0.17,0.146,0.121
Pneumia,trivialis,ZFMK-TIS-2629687,yes,2020,2,0,0,0,2,0,4,1,C16,constant,16,0.384,0.3813,0.404,0.384,0.356
Clytocerus,ocellaris,ZFMK-TIS-2629688,yes,2020,2,0,1,0,2,0,5,1,C16,constant,16,0.145,0.147,0.182,0.145,0.114
Pneumia,trivialis,ZFMK-TIS-2629689,yes,2020,0,0,0,0,1,0,1,1,C16,constant,16,0.37,0.3717,0.399,0.37,0.346
Pneumia,trivialis,ZFMK-TIS-2629690,yes,2020,0,0,0,0,2,0,2,1,C16,constant,16,0.193,0.1953,0.237,0.193,0.156
Pneumia,trivialis,ZFMK-TIS-2629691,yes,2020,2,2,0,0,3,0,7,1,C16,constant,16,0.0807,0.0828,0.0871,0.0807,0.0805
