Specimen number,Genus,Collection year,Shaking intervale,Fix Factor Time (hours),F1 (%),F2 (%),F3 (%),Total (%)
ZFMK-TIS-2629675,Trichomyia,2013,constant,16,22.5,19.8,54.9,97.2
ZFMK-TIS-2629676,Lepiseodina,2013,constant,16,18.9,28.6,48.5,96
ZFMK-TIS-2629677,Ulomyia,2013,constant,16,47.5,27,24.1,98.6
ZFMK-TIS-2629680,Lepiseodina,2013,constant,16,39.7,20,27.7,87.4
ZFMK-TIS-2629681,Telmatoscopus,2013,constant,16,14.5,28.1,45.5,88.1
ZFMK-TIS-2629684,Psychoda,2013,constant,16,18.1,27.7,52,97.8
ZFMK-TIS-2629687,Pneumia,2020,constant,16,54.3,27.6,14,95.9
ZFMK-TIS-2629697,Pneumia,2021,constant,16,60.7,12.4,24,97.1
ZFMK-TIS-2629704,Pneumia,2021,constant,16,35.1,29.7,35.9,100.7
ZFMK-TIS-2629709,Trichomyia,2013,constant,12,22,24.4,51.5,97.9
ZFMK-TIS-2629711,Psychoda,2013,constant,12,14.3,21.8,45.3,81.4
ZFMK-TIS-2629712,Lepiseodina,2013,constant,12,60.6,16.1,20.5,97.2
ZFMK-TIS-2629713,Telmatoscopus,2013,constant,12,30.2,33.1,33.1,96.4
ZFMK-TIS-2629715,Telmatoscopus,2013,constant,12,28.7,20.4,40.5,89.6
ZFMK-TIS-2629717,Pneumia,2020,constant,12,35.9,22.1,35.1,93.1
ZFMK-TIS-2629719,Pneumia,2020,constant,12,41.4,13.8,39.8,95
ZFMK-TIS-2629735,Pneumia,2021,constant,12,24.3,26.1,43.6,94
ZFMK-TIS-2629736,Pneumia,2021,constant,12,25.4,16.4,52.9,94.7
ZFMK-TIS-2629738,Lepiseodina,2013,constant,8,17,37.4,42.4,96.8
ZFMK-TIS-2629740,Trichopsychoda,2013,constant,8,67.8,16.9,13.6,98.3
ZFMK-TIS-2629742,Trichomyia,2013,constant,8,73.6,15.5,6.9,96
ZFMK-TIS-2629743,Psychoda,2013,constant,8,25,29.6,40.5,95.1
ZFMK-TIS-2629744,Philosepedon,2013,constant,8,32.7,47.1,14.7,94.5
